ID,Type,Month,Block
0,Theft From Auto Over $5000,01,63XX BOUNDARY RD
1,Theft From Auto Over $5000,01,19XX E HASTINGS ST
2,Theft From Auto Over $5000,01,RICHARDS ST / W GEORGIA ST
3,Theft From Auto Over $5000,01,8XX AVISON WAY
4,Theft From Auto Over $5000,01,56XX EAST BLVD
5,Theft From Auto Over $5000,01,7XX W GEORGIA ST
6,Theft From Auto Over $5000,01,8XX AVISON WAY
7,Theft From Auto Over $5000,01,39XX INVERNESS ST
8,Theft From Auto Over $5000,01,38XX W 29TH AV
9,Theft From Auto Over $5000,01,17XX BARCLAY ST
10,Theft From Auto Over $5000,02,9XX BURRARD ST
11,Theft From Auto Over $5000,02,GRANVILLE ST / ROBSON ST
12,Theft From Auto Over $5000,02,7XX DUNSMUIR ST
13,Theft From Auto Over $5000,02,56XX STANLEY PARK DR
14,Theft From Auto Over $5000,02,22XX ST CATHERINES ST
15,Theft From Auto Over $5000,02,8XX AVISON WAY
16,Theft From Auto Over $5000,02,15XX W 59TH AV
17,Theft From Auto Over $5000,02,1XX KEEFER ST
18,Theft From Auto Over $5000,02,1XX KEEFER ST
19,Theft From Auto Over $5000,02,7XX W GEORGIA ST
20,Theft From Auto Over $5000,02,1XX W CORDOVA ST
21,Theft From Auto Over $5000,02,22XX ETON ST
22,Theft From Auto Over $5000,02,8XX E 16TH AV
23,Theft From Auto Over $5000,02,15XX ROBSON ST
24,Theft From Auto Over $5000,03,12XX ALBERNI ST
25,Theft From Auto Over $5000,03,11XX ROBSON ST
26,Theft From Auto Over $5000,03,7XX W GEORGIA ST
27,Theft From Auto Over $5000,03,6XX ABBOTT ST
28,Theft From Auto Over $5000,03,35XX W 17TH AV
29,Theft From Auto Over $5000,03,11XX GRANVILLE ST
30,Theft From Auto Over $5000,03,16XX PENDRELL ST
31,Theft From Auto Over $5000,03,7XX W GEORGIA ST
32,Theft From Auto Over $5000,03,16XX JOHNSTON ST
33,Theft From Auto Over $5000,04,67XX KILLARNEY ST
34,Theft From Auto Over $5000,04,7XX GRANVILLE ST
35,Theft From Auto Over $5000,04,3XX N GARDEN DR
36,Theft From Auto Over $5000,04,17XX POWELL ST
37,Theft From Auto Over $5000,04,84XX ONTARIO ST
38,Theft From Auto Over $5000,04,7XX W GEORGIA ST
39,Theft From Auto Over $5000,04,OAK ST / W 67TH AV
40,Theft From Auto Over $5000,04,5XX ROBSON ST
41,Theft From Auto Over $5000,04,7XX SE MARINE DR
42,Theft From Auto Over $5000,04,8XX GRIFFITHS WAY
43,Theft From Auto Over $5000,04,11XX HOWE ST
44,Theft From Auto Over $5000,05,35XX VANNESS AV
45,Theft From Auto Over $5000,05,7XX W GEORGIA ST
46,Theft From Auto Over $5000,05,16XX JOHNSTON ST
47,Theft From Auto Over $5000,05,4XX W HASTINGS ST
48,Theft From Auto Over $5000,05,1XX POWELL ST
49,Theft From Auto Over $5000,06,5XX PACIFIC ST
50,Theft From Auto Over $5000,06,7XX W GEORGIA ST
51,Theft From Auto Over $5000,06,7XX MAIN ST
52,Theft From Auto Over $5000,06,E PENDER ST / MAIN ST
53,Theft From Auto Over $5000,06,8XX AVISON WAY
54,Theft From Auto Over $5000,06,36XX VANNESS AV
55,Theft From Auto Over $5000,06,3XX SE MARINE DR
56,Theft From Auto Over $5000,06,4XX SE MARINE DR
57,Theft From Auto Over $5000,06,8XX AVISON WAY
58,Theft From Auto Over $5000,06,9XX STANLEY PARK DR
59,Theft From Auto Over $5000,06,8XX AVISON WAY
60,Theft From Auto Over $5000,06,6XX MOBERLY RD
61,Theft From Auto Under $5000,01,2XX E 22ND AV
62,Theft From Auto Under $5000,01,36XX W 16TH AV
63,Theft From Auto Under $5000,01,29XX E 41ST AV
64,Theft From Auto Under $5000,01,10XX LAKEWOOD DR
