PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;NOMBRE-VIA;NUM;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD
12424;Mercado municipal de Alto de Extremadura;"En el Mercado de Alto de Extremadura cualquier ocasión es buena para acercarse (y acercar) a los vecinos: un partido de fútbol o el día del patrón, la inminencia del año nuevo o la celebración de un aniversario. La vida se renueva cada día en este mercado, abierto al público en 1974 y renovado en 2011, que combina la oferta tradicional de productos frescos, variantes y ultramarinos en puestos especializados con el servicio de un supermercado de medianas dimensiones. La veteranía y la confianza -comercio de cercanía- son aquí una constante, que cristaliza durante los fines de semana en degustaciones de platos de auténtica cocina de mercado: paella de campo o callos a la madrileña. Ubicado en el Paseo de los Jesuitas -muchos lo conocen todavía como &amp;ldquo;el mercado de los Jesuitas&amp;rdquo;- su área de influencia desborda los límites del barrio de Puerta del Ángel y se extiende a lo largo del Paseo de Extremadura. Este mercado abrió sus puertas por vez primera en junio de 1974 y tras 37 años de actividad se reinaugura en 2.011 para ofrecer a sus clientes la calidad, el servicio y el saber hacer de sus comercios típicos en un mercado tradicional, pero en un espacio renovado. Entre sus 26 puestos podrán encontrar distintos preparados y embutidos en carnes y pollos, chacinas regionales e ibéricas, frutas cortadas y en zumo, carnes exóticas, legumbres y encurtidos a granel directos del productor, productos extranjeros, carnes con denominación de orígen, podrá arreglar sus zapatos y duplicar sus llaves, todo ello tomándose un café en nuestra cafetería.";Invierno:  De lunes a viernes: de 9 a 14 y de 17 a 20:30 horas. Sábados: de 9 a 14 horas.    Verano:  De lunes a viernes: de 9 a 14 y de 17:30 a 20:30 horas. Sábados: de 9 a 14:30 horas.    Supermercado Carrefour Express:  De lunes a sábado: de 9:30 a 22 horas. Festivos: de 10 a 15 horas.;Dispone de wifi gratuita;JESUITAS;44;LATINA;437622;4473300;4.040.797.174.906.470;-37.351.687.013.396.300
12418;Mercado municipal de Antón Martín;Del techo desciende el taconeo de la escuela de arte flamenco y del suelo ascienden los golpes de las carretillas que traen y llevan género. Entre una cosa y otra, se abre paso una amplia oferta de ocio y restauración que se complementa -dialoga- con los puestos del mercado tradicional: carnicerías y pollerías, verdulerías y fruterías y pescaderías que sirven fuera y dentro del mercado. El mercado de Antón Martín es un trasiego de gente que compra, de gente que se sienta a comer y de gente que se lo lleva a casa. Aunque el mercado, tal y como lo conocemos hoy, se abrió al público en 1941, hace más de trescientos años que se vende comida en la plaza de Antón Martín. Asomado a la calle Atocha, con un ojo puesto en el Barrio de las Letras y otro en Lavapiés, presenta una imagen en constante renovación -fachada intervenida por enormes grafitis- que se corresponde con lo que hay dentro: actividad permanente alrededor de la comida, ya sea un plato de ostras, media docena de croquetas de autor o kilo y medio de calabacines. Inaugurado en el año 1941, el mercado de Antón Martín, situado en el barrio de Embajadores, junto al Cine Doré, sede de la Filmoteca Española, cuenta con más de 80 locales, entre puestos interiores y tiendas exteriores.;Establecimientos del mercado tradicional:  de lunes a viernes de 9 a 21 horas y sábados de 9 a 15 horas.  Horario de restaruación: de lunes a viernes de 9 a 23:30 horas. Sábado de 15 a 18 horas (acceso por Duque de Fernán Núñez);Zona Wifi;SANTA ISABEL;5;CENTRO;440710;4473658;40.411.422.452.721.500;-36.988.110.198.857.100
12426;Mercado municipal de Argüelles;"A medio camino entre la agitación de calle Princesa y la paz casi forestal del Parque del Oeste, en el cruce de Tutor con Altamirano, está el Mercado de Arg&amp;uuml;elles. Abrió sus puertas en 1949 y, en 2011, después de una exhaustiva remodelación, se convirtió en el mercado ordenado, racional, práctico y accesible que hoy conocemos. Perfectamente insertado en el trazado urbanístico del barrio, una cuadrícula de calles alargadas, combina una completa oferta en perecederos con un supermercado de medianas dimensiones y servicios como una costurera, tiendas de ropa y una academia musical. El mercado cuenta incluso con su propia controversia histórica, originada en torno a unos versos de Pablo Neruda: Todo eran grandes voces, sal de mercaderías, aglomeraciones de pan palpitante, mercados de mi barrio de Arg&amp;uuml;elles con su estatua como un tintero pálido entre las merluzas. Tanto si el poeta se refería a un mercado callejero desplegado en el solar sobre el que se edificó el actual como si no fue así, la cuestión es que ahora este es el mercado de Arg&amp;uuml;elles, con sus merluzas y su pan palpitante.";Mercado:  De lunes a viernes: de 9 a 14 y de 17:30 a 20 horas. Sábado: de 9 a 14 horas.    Supermercado Ahorramás: de lunes a sábado de 9 a 21 horas.;;ALTAMIRANO;7;MONCLOA-ARAVACA;439107;4475866;40.431.197.427.341.100;-37.179.024.231.789.400
12405;Mercado municipal de Bami;En el Barrio del Carmen, a dos manzanas de la calle Alcalá y entre una hilera de casas de cuatro pisos, está el mercado de Bami, construido en el año 1954. Su exterior luce un característico aspecto industrial, con cubierta en diente de sierra y muros de fábrica de ladrillo. En su interior encontramos, además de una completa oferta de alimentación (frutería, pescadería, carnicería, charcutería, obrador de panadería, y supermercado), un moderno ginmasio.;Invierno:  De lunes a viernes de 9 a 14 y de 17 a 20 horas. Sábados de 9 a 14 horas.    Verano (de abril a septiembre):  De lunes a viernes de 9 a 14 y de 17:30 a 20:30 horas. Sábados de 9 a 14 horas.;;BAMI;32;CIUDAD LINEAL;444410;4475768;40.430.694.913.121.700;-3.655.377.903.084.200
12393;Mercado municipal de Barceló;"El mercado de Barceló &amp;ndash;a un paso de Malasaña y en el corazón del Madrid más vibrante- suma y sigue. Más de diez mil metros cuadrados de puestos, repartidos en tres plantas, conforman este espacio, doblemente nuevo e integrado en el Centro Polivalente Barceló. Al antiguo edificio -1956- sucede un mercado que es nuevo por dentro y por fuera. La nueva edificación -inaugurada en 2014- ha venido acompañada de una idea nueva: hacer la compra puede o debe ser un placer. Los puestos de comercio tradicional conviven con nuevas iniciativas, que van desde una barbería a una tienda de productos de limpieza ecológicos. El de Barceló es un mercado elevado al cubo -fruta, carne y pescado- o un mercado de tres plantas -verdura, pollo y embutidos- dentro de un cubo gigante. Ahora, el mercado de Barceló dobla la apuesta con Food Gourmet, una isla de los placeres y los sentidos ubicada en la tercera planta y llamada a ser rompeolas del ocio gastronómico en el distrito Centro.";De lunes a viernes de 9 a 14:30 y de 17:30 a 20:30 horas. Sábados de 9 a 15 horas.;Dispone de wifi gratuita.;BARCELO;6;CENTRO;440683;4475365;4.042.680.707.802.060;-36.992.767.323.438.300
12413;Mercado municipal de Chamartín;El mercado de Chamartín lo hacen las bancas y los puestos, las tiendas y locales exteriores, los comerciantes y los clientes y, por encima de todo, el producto. Abierto desde 1962 en la esquina de Potosí con Bolivia, tiene su seña de identidad en la excelencia, más allá del gourmet. El mejor queso del mundo, las setas más jugosas o la pularda más suculenta pasan por aquí. En el mercado de Chamartín, la primera estación del placer consiste en caminar por sus calles y contemplar los mostradores de sus carnicerías, las luminosas pirámides de sus fruterías y las palpitantes cajas de pescados y mariscos. El viaje continúa con la compra misma, que hace efectiva la promesa de un regalo para los sentidos, y ni siquiera termina al salir del edificio, cuya colorida fachada despunta entre la serenidad del barrio de Hispanoamérica.;Invierno:  De lunes a viernes de 9 a 14 y de 17 a 20 horas. Sábado de 9 a 14 horas.    Verano (julio y agosto):  De lunes a viernes de 9 a 14 y de 17:30 a 20 horas. Sábado de 9 a 14 horas.;;BOLIVIA;9;CHAMARTIN;442509;4478737;40.457.311.867.437.300;-3.678.056.977.192.460
12422;Mercado municipal de Chamberí;En el mercado de Chamberí, la Corte del Faraón hace esquina con la Rosa del azafrán, y los carabineros se cruzan con los ajos de Pedroñeras y con las sacas de alubias verdinas. Lo primero se explica porque las calles tienen nombre de zarzuela, y lo segundo porque la amplia oferta de productos frescos abarca un amplio espectro que va desde la quesería nacional e internacional a las carnes selectas o al pescado más escogido, sin descuidar los productos de la huerta y las aves de corral. Pero, además, en el mercado de Chamberí, al esparcimiento le han dado un nombre, La Chispería, que hace alusión a los antiguos chisperos o empleados de las herrerías que abundaban por la zona. Bares y tascas se agrupan en un espacio propio, dentro de la única y diáfana planta, y ensanchan los límites del tiempo -horario ampliado- y, también, los de la cocina de mercado.;Horario mercado:  De lunes a viernes: de 9:30 a 14:30 y de 17:30 a 20:30 horas. Sábado: de 9:30 a 14:30 horas.    Horario La Chispería:  Lunes: Cerrado. De martes a jueves: de 12:30 a 24 horas. Viernes y sábado: de 12:30 a 2 horas. Domingo: de 12:30 a 17:30 horas.;;ALONSO CANO;10;CHAMBERI;440811;4476407;4.043.620.300.971.710;-36.978.649.027.841.800
12414;Mercado municipal de Diego de León;En el mercado de Diego de León hay sitio para todos. Los jefes de cocina de los restaurantes de la zona, los oficinistas y los clientes del vecindario acuden al mercado con un mismo objetivo: la cercanía y la confianza con el comerciante. Forma parte del tejido comercial del barrio y lo abastece de los frescos imprescindibles -carnes y pescados, frutas y verduras, aves y huevos- desde 1939. Conserva algunos rótulos originales de singular belleza. En el mercado de Diego de León lo esencial convive con lo fundamental: es el sitio en el que comprar una caja de botellas de vino o un kilo de peras Conferencia, el sitio en el que encargar el tapizado de un sofá o enmarcar un cuadro, el sitio en el que lo gourmet se convierte en lo natural. Público fiel de toda la vida. Gente del barrio y alrededores. Los comerciantes conocen a sus clientes.;Invierno:  De lunes a viernes de 9 a 14 y de 17 a 20 horas. Sábado de 9 a 14 horas.    Verano:  De lunes a viernes de 9 a 14 y de 17:30 a 20:30 horas. Sábado de 9 a 14 horas.;Dispone de wifi gratuita;DIEGO DE LEON;26;SALAMANCA;442116;4476236;4.043.475.434.372.190;-36.824.756.273.454.700
12433;Mercado municipal de Doña Carlota;En el corazón del barrio de Doña Carlota, desde hace más de cincuenta años, late un mercado que ha sabido evolucionar con el paso del tiempo. Tras una remodelación, en 2015, el mercado de Doña Carlota se ha llenado de luz y los accesos se han hecho fáciles (rampa y ascensor). A la tradicional y completa oferta en alimentación, agrupada en la planta baja, hay que sumar una amplia gama de servicios que, desde las tiendas exteriores y desde un supermercado ubicado en la primera planta, ofrecen lo que un barrio necesita. Cuenta con salas para exposiciones y espacios comunes que, sobre todo durante el fin de semana, revitalizan el aire de la plaza con degustaciones y actuaciones en directo. El mercado de Doña Carlota es un pedazo de historia, un trozo de un Madrid inconfundible que sirvió para rodar algunas escenas de la película Volver, de Pedro Almodóvar: Penélope Cruz compra fruta en un puesto y, en una ferretería, se hace con el material necesario para deshacerse del cadáver de su marido. Entre tanto, la vida sigue en el mercado de Doña Carlota.;Invierno   De lunes a viernes: de 9 a 14 y de 17 a 20 horas Sábados: de 9 a 14 horas   Verano (desde el primer lunes de marzo hasta finales de septiembre)  De lunes a viernes: de 9 a 14 y de 17:30 a 20:30 horas Sábado: de 9 a 14 horas;;DOCTOR LOZANO;16;PUENTE DE VALLECAS;444016;4472712;404.031.383.496.021;-36.597.537.009.742.800
12400;Mercado municipal de Guillermo de Osma;Abierto al público en 1970 y doblemente remodelado en el presente siglo, el mercado Guillermo de Osma es una plaza de abastos en un barrio donde abundan las plazas, al costado de la calle Embajadores. Es el sitio donde los vecinos de La Arganzuela encuentran lo necesario para llenar la nevera y cubrir la mesa. Hay decenas de puestos entre carnicerías y verdulerías, fruterías y pescaderías, pollerías, salchicherías y casquerías, cuya oferta se completa con un supermercado de medianas dimensiones. Los accesos son cómodos y la disposición de los locales, repartidos en islas y calles, facilita el tránsito de clientes. El mercado Guillermo de Osma es también un centro de servicios, un lugar donde afilar un cuchillo, arreglar una cremallera o reparar un reloj.;Mercado tradicional: Lunes a viernes de 9 a 14 y de 17 a 20 horas. Sábados y visperas de festivos de 9 a 14:30 horas.  Mercado gastronómico: Lunes a jueves de 9 a 22 horas. Viernes y visperas de festivos de 9 a 24 horas. Domingos y festivos 11:30 a 17:30 horas.;Zona Wifi;MIGUEL ARREDONDO;4;ARGANZUELA;441042;4472034;403.949.437.306.698;-36.960.129.848.486.100
