ParkName,NeighborhoodName,CommonName,Diameter,Height,Genus,Species,TreeID,X,Y
,Mount Pleasant,Chanticleer Pear,3,1,Pyrus,Calleryana,,493491.61281804583,5456834.707079037
,Mount Pleasant,Chanticleer Pear,6,3,Pyrus,Calleryana,,493491.61281804583,5456834.707079037
Barclay Heritage Square,West End,Schwedler Norway Maple,26,4,Acer,Platanoides,58780,490435.82660959574,5459402.3844357375
Barclay Heritage Square,West End,Schwedler Norway Maple,25,4,Acer,Platanoides,58779,490435.82660959574,5459402.3844357375
Barclay Heritage Square,West End,Schwedler Norway Maple,26,4,Acer,Platanoides,58778,490435.82660959574,5459402.3844357375
Barclay Heritage Square,West End,Schwedler Norway Maple,26,4,Acer,Platanoides,58777,490435.82660959574,5459402.3844357375
Mount Pleasant Park,Mount Pleasant,Worplesdon Sweetgum,3,1,Liquidambar,Styraciflua,,492198.92829944333,5456087.679134414
Mount Pleasant Park,Mount Pleasant,Worplesdon Sweetgum,6,3,Liquidambar,Styraciflua,,492198.92829944333,5456087.679134414
Mount Pleasant Park,Mount Pleasant,Worplesdon Sweetgum,6,3,Liquidambar,Styraciflua,,492198.92829944333,5456087.679134414
Mount Pleasant Park,Mount Pleasant,Worplesdon Sweetgum,8,3,Liquidambar,Styraciflua,,492198.92829944333,5456087.679134414
Mount Pleasant Park,Mount Pleasant,Worplesdon Sweetgum,8,3,Liquidambar,Styraciflua,,492198.92829944333,5456087.679134414
Mount Pleasant Park,Mount Pleasant,Worplesdon Sweetgum,8,3,Liquidambar,Styraciflua,,492198.92829944333,5456087.679134414
Jonathan Rogers Park,Mount Pleasant,Kwanzan Flowering Cherry,19,3,Prunus,Serrulata,6098,492047.50986063504,5456883.877070627
Sun Yat-Sen Gardens,Downtown,Persian Ironwood,3,1,Parrotia,Persica,,492422.4154173991,5458511.17583867
Sun Yat-Sen Gardens,Downtown,Persian Ironwood,3,1,Parrotia,Persica,,492422.4154173991,5458511.17583867
Sun Yat-Sen Gardens,Downtown,Persian Ironwood,4,1,Parrotia,Persica,,492422.4154173991,5458511.17583867
Sun Yat-Sen Gardens,Downtown,Persian Ironwood,4,1,Parrotia,Persica,,492422.4154173991,5458511.17583867
Sun Yat-Sen Gardens,Downtown,Persian Ironwood,3,1,Parrotia,Persica,,492422.4154173991,5458511.17583867
Carolina Park,Mount Pleasant,Eastern Redbud,4,1,Cercis,Canadensis,,493390.37034177897,5457094.4542082595
China Creek North Park,Mount Pleasant,Flowering Ash,3,1,Fraxinus,Ornus,,494072.9613326057,5456846.964584057
China Creek North Park,Mount Pleasant,Kwanzan Flowering Cherry,17,2,Prunus,Serrulata,5784,494072.9613326057,5456846.964584057
Evans Yard Park,Strathcona,European Beech,3,1,Fagus,Sylvatica,,493809.34993630537,5457709.978919985
Evans Yard Park,Strathcona,Capital Pear,3,1,Pyrus,Calleryana,,493809.34993630537,5457709.978919985
Evans Yard Park,Strathcona,Fernleaf Beech,3,1,Fagus,Sylvatica,,493809.34993630537,5457709.978919985
Evans Yard Park,Strathcona,Capital Pear,3,1,Pyrus,Calleryana,,493809.34993630537,5457709.978919985
Evans Yard Park,Strathcona,Capital Pear,3,1,Pyrus,Calleryana,,493809.34993630537,5457709.978919985
Evans Yard Park,Strathcona,Pin Oak,3.5,1,Quercus,Palustris,,493809.34993630537,5457709.978919985
Evans Yard Park,Strathcona,California Incense Cedar,4.5,2,Calocedrus,Decurrens,,493809.34993630537,5457709.978919985
Evans Yard Park,Strathcona,California Incense Cedar,4.2,2,Calocedrus,Decurrens,,493809.34993630537,5457709.978919985
Evans Yard Park,Strathcona,Aristocrat Pear,6,4,Pyrus,Calleryana,,493809.34993630537,5457709.978919985
Evans Yard Park,Strathcona,Ginkgo Or Maidenhair Tree,2,1,Ginkgo,Biloba,,493809.34993630537,5457709.978919985
Evans Yard Park,Strathcona,Ginkgo Or Maidenhair Tree,2,1,Ginkgo,Biloba,,493809.34993630537,5457709.978919985
Evans Yard Park,Strathcona,Aristocrat Pear,5.5,2,Pyrus,Calleryana,,493809.34993630537,5457709.978919985
Evans Yard Park,Strathcona,Aristocrat Pear,6,4,Pyrus,Calleryana,,493809.34993630537,5457709.978919985
Evans Yard Park,Strathcona,Aristocrat Pear,6.5,4,Pyrus,Calleryana,,493809.34993630537,5457709.978919985
Evans Yard Park,Strathcona,Aristocrat Pear,6,4,Pyrus,Calleryana,,493809.34993630537,5457709.978919985
Evans Yard Park,Strathcona,Aristocrat Pear,6,4,Pyrus,Calleryana,,493809.34993630537,5457709.978919985
Evans Yard Park,Strathcona,Aristocrat Pear,5.1,4,Pyrus,Calleryana,,493809.34993630537,5457709.978919985
Evans Yard Park,Strathcona,Aristocrat Pear,6.5,4,Pyrus,Calleryana,,493809.34993630537,5457709.978919985
Evans Yard Park,Strathcona,Aristocrat Pear,5.2,2,Pyrus,Calleryana,,493809.34993630537,5457709.978919985
Evans Yard Park,Strathcona,Fernleaf Beech,3,1,Fagus,Sylvatica,,493809.34993630537,5457709.978919985
Evans Yard Park,Strathcona,Fernleaf Beech,3,1,Fagus,Sylvatica,,493809.34993630537,5457709.978919985
Evans Yard Park,Strathcona,Fernleaf Beech,3,1,Fagus,Sylvatica,,493809.34993630537,5457709.978919985
Evans Yard Park,Strathcona,Fernleaf Beech,3,1,Fagus,Sylvatica,,493809.34993630537,5457709.978919985
Evans Yard Park,Strathcona,Fernleaf Beech,3,1,Fagus,Sylvatica,,493809.34993630537,5457709.978919985
Evans Yard Park,Strathcona,Fernleaf Beech,3,1,Fagus,Sylvatica,,493809.34993630537,5457709.978919985
Evans Yard Park,Strathcona,Fernleaf Beech,3,1,Fagus,Sylvatica,,493809.34993630537,5457709.978919985
Evans Yard Park,Strathcona,Fernleaf Beech,3,1,Fagus,Sylvatica,,493809.34993630537,5457709.978919985
Evans Yard Park,Strathcona,Fernleaf Beech,3,1,Fagus,Sylvatica,,493809.34993630537,5457709.978919985
Evans Yard Park,Strathcona,Capital Pear,3,1,Pyrus,Calleryana,,493809.34993630537,5457709.978919985
Evans Yard Park,Strathcona,Fernleaf Beech,3,1,Fagus,Sylvatica,,493809.34993630537,5457709.978919985
Evans Yard Park,Strathcona,Capital Pear,3,1,Pyrus,Calleryana,,493809.34993630537,5457709.978919985
Evans Yard Park,Strathcona,Capital Pear,3,1,Pyrus,Calleryana,,493809.34993630537,5457709.978919985
Evans Yard Park,Strathcona,Capital Pear,3,1,Pyrus,Calleryana,,493809.34993630537,5457709.978919985
Evans Yard Park,Strathcona,Capital Pear,3,1,Pyrus,Calleryana,,493809.34993630537,5457709.978919985
Evans Yard Park,Strathcona,Capital Pear,3,1,Pyrus,Calleryana,,493809.34993630537,5457709.978919985
