TreeID,Address,Neighborhood,Height,Diameter,PlantingDate,Cultivar,Genus,Species,CommonName
554,1294 Granville St,Downtown,1,3.00,20091026, ,Fagus,Sylvatica,European Beech
2685,501 Pacific Boulevard,Downtown,2,5.50,, ,Quercus,Palustris,Pin Oak
2701,501 Pacific Boulevard,Downtown,4,11.50,, ,Fagus,Sylvatica,European Beech
2706,1391 Richards St,Downtown,2,6.50,, ,Acer,Platanoides,Norway Maple
2718,501 Richards St,Downtown,2,6.00,, ,Acer,Platanoides,Norway Maple
2736,828 Drake St,Downtown,1,3.00,20111206,Vanessa,Parrotia,Persica,Vanessa Persian Ironwood
2644,501 Pacific Boulevard,Downtown,2,3.00,, ,Quercus,Rubra,Red Oak
2645,501 Pacific Boulevard,Downtown,4,10.00,, ,Quercus,Palustris,Pin Oak
2648,501 Pacific Boulevard,Downtown,2,3.00,, ,Quercus,Rubra,Red Oak
2656,501 Pacific Boulevard,Downtown,4,6.50,, ,Quercus,Palustris,Pin Oak
2659,501 Pacific Boulevard,Downtown,4,7.50,, ,Quercus,Rubra,Red Oak
703,0 Nelson St,Downtown,2,5.00,, ,Sorbus,Aucuparia,European Mountain Ash
1872,0 Nelson St,Downtown,2,4.50,, ,Sorbus,Aucuparia,European Mountain Ash
1874,0 Nelson St,Downtown,2,5.00,, ,Sorbus,Aucuparia,European Mountain Ash
1875,0 Nelson St,Downtown,2,5.50,, ,Sorbus,Aucuparia,European Mountain Ash
722,58 Keefer Place,Downtown,1,3.00,20081202,Fastigiata,Carpinus,Betulus,Pyramidal European Hornbeam
727,80 Keefer Place,Downtown,2,3.00,20081202,Fastigiata,Carpinus,Betulus,Pyramidal European Hornbeam
1744,0 Nelson St,Downtown,2,5.50,, ,Sorbus,Aucuparia,European Mountain Ash
1768,0 Nelson St,Downtown,2,5.00,, ,Sorbus,Aucuparia,European Mountain Ash
1769,0 Nelson St,Downtown,2,5.50,, ,Sorbus,Aucuparia,European Mountain Ash
1770,1 Nelson St,Downtown,2,6.50,, ,Sorbus,Aucuparia,European Mountain Ash
1771,1 Nelson St,Downtown,3,5.50,, ,Sorbus,Aucuparia,European Mountain Ash
1772,1 Nelson St,Downtown,3,5.00,, ,Sorbus,Aucuparia,European Mountain Ash
1773,1 Nelson St,Downtown,2,6.00,, ,Sorbus,Aucuparia,European Mountain Ash
2741,1 Nelson St,Downtown,3,5.00,, ,Sorbus,Aucuparia,European Mountain Ash
6600,1002 Seymour St,Downtown,1,3.00,20121023, ,Parrotia,Persica,Persian Ironwood
6601,1002 Seymour St,Downtown,1,3.50,20121023, ,Parrotia,Persica,Persian Ironwood
6602,1010 Seymour St,Downtown,1,3.00,20121023, ,Parrotia,Persica,Persian Ironwood
6606,1018 Seymour St,Downtown,4,11.50,20121023, ,Tilia,Euchlora   X,Crimean Linden
6611,1 Nelson St,Downtown,3,6.00,, ,Sorbus,Aucuparia,European Mountain Ash
4579,493 Robson St,Downtown,2,3.00,, ,Liriodendron,Tulipifera,Tuliptree
