longitude,latitude,elevation,StationID,Power,Quality,num_measures,recorded_tstamp,CodePrefix,CodeValue,JSON
-123.142746,49.260838,46,36285,-70.803,-20.2642,1,12/5/2011 1:53,ABD,90272923,"{ ""StationID"" : ""36285"", ""Power"" : ""-70.8030"", ""Quality"" : ""-20.2642"" }"
-123.152763,49.268216,38,11430,-83.3583,-16.9455,2,12/3/2011 19:56,ABC,251882608,"{ ""StationID"" : ""11430"", ""Power"" : ""-83.3583"", ""Quality"" : ""-16.9455"" }"
-123.145171,49.291555,14,32247,-54.0965,-9.5716,6,12/7/2011 20:53,ABC,429881473,"{ ""StationID"" : ""32247"", ""Power"" : ""-54.0965"", ""Quality"" : ""-9.5716"" }"
-123.079565,49.261448,24,1270,-41.9653,-6.1465,2,12/1/2011 23:33,ABC,18686519,"{ ""StationID"" : ""1270"", ""Power"" : ""-41.9653"", ""Quality"" : ""-6.1465"" }"
-123.118541,49.286118,24,35286,-68.7671,-11.2485,1,12/4/2011 0:39,ABD,39131769,"{ ""StationID"" : ""35286"", ""Power"" : ""-68.7671"", ""Quality"" : ""-11.2485"" }"
-123.162637,49.257737,28,31289,-68.1009,-16.5198,60,12/5/2011 1:46,CBA,335028931,"{ ""StationID"" : ""31289"", ""Power"" : ""-68.1009"", ""Quality"" : ""-16.5198"" }"
-123.147024,49.263734,39,30277,-79.8283,-13.3031,2,12/1/2011 21:34,ABC,406745818,"{ ""StationID"" : ""30277"", ""Power"" : ""-79.8283"", ""Quality"" : ""-13.3031"" }"
-123.118729,49.289904,0,32276,-70.3033,-15.4926,1,12/5/2011 19:15,ABC,224631453,"{ ""StationID"" : ""32276"", ""Power"" : ""-70.3033"", ""Quality"" : ""-15.4926"" }"
-123.081615,49.270844,7,37067,-69.5071,-20.7213,2,12/4/2011 16:04,ABD,45855592,"{ ""StationID"" : ""37067"", ""Power"" : ""-69.5071"", ""Quality"" : ""-20.7213"" }"
-123.130061,49.279649,41,36612,-88.0698,-20.1211,1,12/5/2011 16:53,ABD,337566702,"{ ""StationID"" : ""36612"", ""Power"" : ""-88.0698"", ""Quality"" : ""-20.1211"" }"
-123.077835,49.277659,13,70,-73.081,-17.2115,3,12/7/2011 19:05,ABC,358799262,"{ ""StationID"" : ""70"", ""Power"" : ""-73.0810"", ""Quality"" : ""-17.2115"" }"
-123.107192,49.26743,10,10712,-66.3379,-20.9228,1,12/5/2011 22:46,ABC,84901018,"{ ""StationID"" : ""10712"", ""Power"" : ""-66.3379"", ""Quality"" : ""-20.9228"" }"
-123.164793,49.257595,26,36613,-68.9707,-5.5501,1,12/6/2011 17:53,ABD,111305096,"{ ""StationID"" : ""36613"", ""Power"" : ""-68.9707"", ""Quality"" : ""-5.5501"" }"
-123.180143,49.265141,18,1337,-57.8175,-18.8909,1,12/2/2011 22:13,ABC,60617768,"{ ""StationID"" : ""1337"", ""Power"" : ""-57.8175"", ""Quality"" : ""-18.8909"" }"
-123.182605,49.264313,19,36466,-72.2756,-21.943,1,12/4/2011 16:19,ABD,7519872,"{ ""StationID"" : ""36466"", ""Power"" : ""-72.2756"", ""Quality"" : ""-21.9430"" }"
-123.081409,49.269044,7,1635,-68.8868,-13.2472,2,12/4/2011 13:47,ABC,415021023,"{ ""StationID"" : ""1635"", ""Power"" : ""-68.8868"", ""Quality"" : ""-13.2472"" }"
-123.104735,49.263002,36,35737,-70.4739,-10.2282,6,12/6/2011 15:25,ABD,422300888,"{ ""StationID"" : ""35737"", ""Power"" : ""-70.4739"", ""Quality"" : ""-10.2282"" }"
-123.086834,49.258793,49,30760,-84.0727,-16.0961,2,12/6/2011 16:53,ABC,281294035,"{ ""StationID"" : ""30760"", ""Power"" : ""-84.0727"", ""Quality"" : ""-16.0961"" }"
-123.157907,49.25748,37,1479,-67.5837,-9.8958,3,12/7/2011 1:31,ABC,28448862,"{ ""StationID"" : ""1479"", ""Power"" : ""-67.5837"", ""Quality"" : ""-9.8958"" }"
-123.139247,49.265359,30,35236,-85.4994,-18.015,1,12/5/2011 20:33,ABD,214802896,"{ ""StationID"" : ""35236"", ""Power"" : ""-85.4994"", ""Quality"" : ""-18.0150"" }"
-123.089304,49.275151,8,30408,-60.8772,-18.3273,1,12/3/2011 1:12,ABC,51278982,"{ ""StationID"" : ""30408"", ""Power"" : ""-60.8772"", ""Quality"" : ""-18.3273"" }"
-123.147611,49.291196,12,30375,-69.5679,-19.3475,2,12/6/2011 20:12,ABC,49524347,"{ ""StationID"" : ""30375"", ""Power"" : ""-69.5679"", ""Quality"" : ""-19.3475"" }"
-123.108752,49.266555,11,36241,-104.0127,-17.6001,1,12/4/2011 17:00,ABD,320168230,"{ ""StationID"" : ""36241"", ""Power"" : ""-104.0127"", ""Quality"" : ""-17.6001"" }"
-123.140574,49.31344,29,1089,-68.4689,-18.1147,1,12/1/2011 21:16,ABC,374834907,"{ ""StationID"" : ""1089"", ""Power"" : ""-68.4689"", ""Quality"" : ""-18.1147"" }"
-123.089472,49.266744,7,288,-68.2964,-14.0556,3,12/6/2011 1:41,ABC,23564131,"{ ""StationID"" : ""288"", ""Power"" : ""-68.2964"", ""Quality"" : ""-14.0556"" }"
-123.135587,49.302769,21,30489,-62.6153,-16.2866,2,12/3/2011 15:09,ABC,67145978,"{ ""StationID"" : ""30489"", ""Power"" : ""-62.6153"", ""Quality"" : ""-16.2866"" }"
-123.123421,49.275352,20,37046,-72.6231,-12.978,1,12/5/2011 15:44,ABD,172919817,"{ ""StationID"" : ""37046"", ""Power"" : ""-72.6231"", ""Quality"" : ""-12.9780"" }"
-123.08519,49.264709,23,30627,-61.3631,-22.2639,1,12/7/2011 18:23,ABC,29851728,"{ ""StationID"" : ""30627"", ""Power"" : ""-61.3631"", ""Quality"" : ""-22.2639"" }"
-123.155302,49.263737,37,36065,-69.9337,-15.4067,1,12/1/2011 21:28,ABD,70409068,"{ ""StationID"" : ""36065"", ""Power"" : ""-69.9337"", ""Quality"" : ""-15.4067"" }"
-123.163371,49.273595,14,1568,-43.3838,-9.0414,3,12/4/2011 0:05,ABC,238554256,"{ ""StationID"" : ""1568"", ""Power"" : ""-43.3838"", ""Quality"" : ""-9.0414"" }"
-123.179716,49.267863,20,31953,-61.256,-19.9851,2,12/4/2011 14:06,ABC,273203216,"{ ""StationID"" : ""31953"", ""Power"" : ""-61.2560"", ""Quality"" : ""-19.9851"" }"
-123.112149,49.269141,8,36697,-67.4691,-12.4177,2,12/2/2011 18:55,ABD,341864358,"{ ""StationID"" : ""36697"", ""Power"" : ""-67.4691"", ""Quality"" : ""-12.4177"" }"
