MarketType,MarketName,MergedAddress,Day,Open,Close,Months,NumberOfVendors
Community Food Market,Alternates between 4 locations,,Saturday,10:00am,12:00pm,,
Community Food Market,South Vancouver Neighbourhood House,49th and Victoria,Sunday,9:00am,11:00am,,
Community Food Market,Brant Villa,"2290 E 2th Av, Vancouver BC",Saturday,10:30am,12:30pm,Ongoing,2-3 Tables
Community Food Market,Cedar Cottage Neighbourhood House,"4065 Victoria Dr, Vancouver BC",Saturday,10:00am,12:00pm,Ongoing,2-3 Tables
Community Food Market,Culloden Court,"1375 E 47th Av, Vancouver BC",Saturday,2:00pm,4:00pm,Ongoing,2-3 Tables
Community Food Market,Orchard Park Mobile Market and Tasting Kitchen,"5988  Nanaimo St, Vancouver BC",Saturday,2:00pm,4:00pm,May-December,1
Community Food Market,Cedar Cottage Neighbourhood House Mobile Market,"4065 Victoria Drive, Vancouver BC",Saturday,10:00am,12:00pm,May-December,1
Community Food Market,Kensington Community Centre,5175 Dumfries Street,Sunday,9:00am,11:45am,,2-3 Tables
Community Food Market,Orchard Park,"5988  Nanaimo St, Vancouver BC",Wednesday,2:00pm,4:00pm,Ongoing,
Community Food Market,Culloden Court Mobile Market and Tasting Kitchen,"1375 E 47th Av, Vancouver BC",Wednesday,2:00pm,4:00pm,May-December,1
Community Food Market,Brant Villa Mobile Market,"2290 E 25th Av, Vancouver BC",Saturday,10:00am,12:00pm,May-December,1
