rule_type,from_domain_network,from_feature_class,from_asset_group,from_asset_type,from_terminal,to_domain_network,to_feature_class,to_asset_group,to_asset_type,to_terminal,via_domain_network,via_feature_class,via_asset_group,via_asset_type,via_terminal,association_distance
Containment,Structure,StructureJunction,Electric Bay,Cabinet Bay,,Electric,Device,Medium Voltage Switch,Underground Single Phase Disconnect,,,,,,,
Containment,Structure,StructureJunction,Electric Bay,Cabinet Bay,,Electric,Device,Medium Voltage Switch,Underground Single Phase Load Break,,,,,,,
Containment,Structure,StructureJunction,Electric Bay,Cabinet Bay,,Electric,Device,Medium Voltage Switch,Underground Three Phase Disconnect,,,,,,,
Containment,Structure,StructureJunction,Electric Bay,Cabinet Bay,,Electric,Device,Medium Voltage Switch,Underground Three Phase Load Break,,,,,,,
Containment,Structure,StructureJunction,Electric Bay,Cabinet Bay,,Electric,Device,Medium Voltage Switch,V Blade,,,,,,,
Containment,Structure,StructureJunction,Electric Bay,Cabinet Bay,,Electric,Device,Medium Voltage Switch,T Blade,,,,,,,
Containment,Structure,StructureJunction,Electric Bay,Cabinet Bay,,Electric,Device,Medium Voltage Switch,Cabinet Switch,,,,,,,
Containment,Structure,StructureJunction,Electric Bay,Cabinet Bay,,Electric,Device,Medium Voltage Switch,Underground Transfer Switch,,,,,,,
Containment,Structure,StructureJunction,Electric Bay,Cabinet Bay,,Electric,Device,Medium Voltage Switch,Two Phase Recloser,,,,,,,
Containment,Structure,StructureJunction,Electric Bay,Cabinet Bay,,Electric,Device,Medium Voltage Switch,Pad Mounted Single Phase Recloser,,,,,,,
Containment,Structure,StructureJunction,Electric Bay,Cabinet Bay,,Electric,Device,Medium Voltage Switch,Pad Mounted Three Phase Recloser,,,,,,,
Containment,Structure,StructureJunction,Electric Bay,Cabinet Bay,,Electric,Device,Medium Voltage Switch,Pad Mounted Single Phase Sectionalizer,,,,,,,
Containment,Structure,StructureJunction,Electric Bay,Cabinet Bay,,Electric,Device,Medium Voltage Switch,Pad Mounted Three Phase Sectionalizer,,,,,,,
Containment,Structure,StructureJunction,Electric Bay,Cabinet Bay,,Electric,Device,Medium Voltage Switch,Two Phase Switch,,,,,,,
Containment,Structure,StructureJunction,Electric Bay,Cabinet Bay,,Electric,Device,Medium Voltage Switch,Two Phase Sectionalizer,,,,,,,
