Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Adresse_1;Adresse_2;Adresse_3;Code_postal;Code_commune;Nom_commune;Code_departement;Code_academie;Code_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Apprentissage;Segpa;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Post_BAC;Appartenance_Education_Prioritaire;GRETA;SIREN_SIRET;Nombre_d_eleves;Fiche_onisep;position;Type_contrat_prive;Libelle_departement;Libelle_academie;Libelle_region;coordX_origine;coordY_origine;epsg_origine;nom_circonscription;latitude;longitude;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;multi_uai;rpi_concentre;rpi_disperse;code_nature;libelle_nature;Code_type_contrat_prive;PIAL;etablissement_mere;type_rattachement_etablissement_mere;code_circonscription;code_zone_animation_pedagogique;libelle_zone_animation_pedagogique;code_bassin_formation;libelle_bassin_formation
0750445B;Collège Alberto Giacometti;Collège;Public;7 rue du Cange;;;75014;75114;Paris;075;01;11;;;0;0;0;01 44 12 60 20;01 45 42 68 79;https://clg-giacometti.ac-paris.fr;ce.0750445B@ac-paris.fr;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;0;19750445900029;529;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4621;48.83426512643556, 2.314971764582598;SANS OBJET;Paris;Paris;Ile-de-France;649716.0;6859574.9;EPSG:2154;;48.83426512643556;2.314971764582598;Numéro de rue;1965-05-01;2025-07-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0750445B;;;;075003;ZAP 6-14;01000;BASSIN PARIS
0940022N;Collège Jean Perrin;Collège;Public;15 avenue Charles Gide;;;94276;94043;Le Kremlin-Bicêtre;094;24;11;;;0;0;0;01 46 70 56 12;01 45 21 95 53;;ce.0940022n@ac-creteil.fr;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;19940022700013;361;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10678;48.806952771390776, 2.3550930034671693;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;652636.2;6856513.3;EPSG:2154;Circonscription d'inspection du 1er degré SDEI 1;48.806952771390776;2.3550930034671693;Numéro de rue;1965-05-01;2025-07-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;;;;0941329J;;;24943;94 BASSIN 3-OUEST (DIST. 6, 7, 8 ET 9)
0931219V;Collège Jean-Jacques Rousseau;Collège;Public;24 rue Emile Augier;;;93315;93061;Le Pré-Saint-Gervais;093;24;11;;;0;0;0;01 86 78 35 70;01 48 46 14 36;;ce.0931219v@ac-creteil.fr;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;19931219000010;553;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3204;48.883505211122696, 2.4005725759641154;SANS OBJET;Seine-Saint-Denis;Créteil;Ile-de-France;656040.9;6864998.9;EPSG:2154;;48.883505211122696;2.4005725759641154;Numéro de rue;1970-03-25;2025-07-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0931219V;;;;;;24933;93 BASSIN 3 (DIST. 5 ET 6)
0753345D;Collège Edmond Michelet;Collège;Public;70 rue de l'Ourcq;;;75019;75119;Paris;075;01;11;;;0;0;0;01 40 05 10 11;01 40 05 02 96;https://clg-edmondmichelet.ac-paris.fr;ce.0753345d@ac-paris.fr;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;REP;0;19750100000016;361;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16764;48.893666855197914, 2.3764864668797987;SANS OBJET;Paris;Paris;Ile-de-France;654283.5;6866142.5;EPSG:2154;;48.893666855197914;2.3764864668797987;Numéro de rue;1986-09-01;2025-07-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0753345D;;;;075007;ZAP 10-19;01000;BASSIN PARIS
0931194T;Collège République;Collège;Public;66-84 rue de la République;;;93000;93008;Bobigny;093;24;11;;;0;0;0;01 86 78 34 90;01 48 31 31 06;https://republique-bobigny.webcollege.seinesaintdenis.fr/;ce.0931194t@ac-creteil.fr;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;REP+;1;19931194500018;883;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7857;48.90679137877798, 2.435217954913491;SANS OBJET;Seine-Saint-Denis;Créteil;Ile-de-France;658600.1;6867569.5;EPSG:2154;;48.90679137877798;2.435217954913491;Numéro de rue;1970-03-25;2025-07-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;;;;;;;24933;93 BASSIN 3 (DIST. 5 ET 6)
0921496B;Collège Georges Pompidou;Collège;Public;20 avenue du Château-du-Loir;;;92400;92026;Courbevoie;092;25;11;;;0;0;0;01 47 88 38 76;01 47 89 99 04;https://clg-brassens-st-arnoult.ac-versailles.fr/;0921496B@ac-versailles.fr;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;;0;19921496600020;675;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14383;48.900267448414304, 2.2543290744992572;SANS OBJET;Hauts-de-Seine;Versailles;Ile-de-France;645334.0;6866954.1;EPSG:2154;Circonscription d'inspection du 1er degré de Nanterre - Coordination ASH I;48.900267448414304;2.2543290744992572;Numéro de rue;1972-02-21;2025-07-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0921550K;;;0922540L;;;25015;092E-NEUILLY-SUR-SEINE
0921912D;Collège Sainte-Marie;Collège;Privé;24 boulevard Victor Hugo;;;92200;92051;Neuilly-sur-Seine;092;25;11;;;0;0;0;01 47 57 58 58;01 47 57 35 19;http://www.saintemariedeneuilly.com;0921912D@ac-versailles.fr;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;77572829800024;449;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4596;48.88468159851701, 2.281168543435465;CONTRAT D'ASSOCIATION TOUTES CLASSES;Hauts-de-Seine;Versailles;Ile-de-France;647285.8;6865202.8;EPSG:2154;;48.88468159851701;2.281168543435465;Numéro de rue;1980-02-26;2025-07-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;30;0922686V;;;;;;25015;092E-NEUILLY-SUR-SEINE
0755030K;Collège Daniel Mayer;Collège;Public;2 place Hébert;;;75018;75118;Paris;075;01;11;;;0;0;0;01 55 26 85 58;01 42 09 80 76;https://clg-danielmayer.ac-paris.fr;ce.0755030k@ac-paris.fr;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;REP;0;19754690600011;291;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9943;48.893140903846145, 2.363861824381881;SANS OBJET;Paris;Paris;Ile-de-France;653357.4;6866091.4;EPSG:2154;;48.893140903846145;2.363861824381881;Numéro de rue;2002-09-01;2025-07-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0755433Y;;;;075006;ZAP 9-18;01000;BASSIN PARIS
0921783N;Collège Michelet;Collège;Public;5 rue Jullien;;;92174;92075;Vanves;092;25;11;;;0;0;0;01 46 42 61 50;01 46 42 66 63;https://cite-scolaire-michelet-vanves.ac-versailles.fr/;0921783N@ac-versailles.fr;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;19921783700012;553;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13797;48.82495893858087, 2.287063145552871;SANS OBJET;Hauts-de-Seine;Versailles;Ile-de-France;647658.1;6858558.3;EPSG:2154;;48.82495893858087;2.287063145552871;Numéro de rue;1977-03-14;2025-07-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0921240Y;;;;;;25018;092F-VANVES
0754355B;Collège Robert Doisneau;Collège;Public;51 rue des Panoyaux;;;75020;75120;Paris;075;01;11;;;0;0;0;01 44 62 68 30;01 44 62 68 40;https://clg-doisneau.ac-paris.fr;clg.robert.doisneau@scola.ac-paris.fr;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;REP;0;19754355600017;440;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8502;48.86707361315357, 2.3879734807114925;SANS OBJET;Paris;Paris;Ile-de-France;655102.8;6863178.9;EPSG:2154;;48.86707361315357;2.3879734807114925;Numéro de rue;1990-09-01;2025-07-22;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;0754355B;;;;075008;ZAP 11-20;01000;BASSIN PARIS
