KEY,VENDOR_TYPE,STATUS,BUSINESS_NAME,LOCATION,DESCRIPTION,GEO_LOCALAREA,x,y
DT48,vendor_food,open,,East Side of 800 Beatty St - 6 Metres South of Robson St,Hot Dogs,Downtown,-123.114069374134,49.277427325294
EB04,vendor_food,open,,South Side of 1700 Beach Ave - East Side of Bidwell St,Hot Dogs,West End,-123.142926123068,49.28449251733
DT21,vendor_food,open,,South Side of 300 Davie St - 6 Metres East of Hamilton St,Hot Dogs,Downtown,-123.122779848109,49.2747502295582
OD05,vendor_food,open,,South Side of 1700 East Broadway - 37 Metres East of Commercial Dr,Hot Dogs,Kensington-Cedar Cottage,-123.069072741187,49.2622160476583
DT10,vendor_food,open,,Expo Boulevard - 20 Metres West of Abbott St,Hot Dogs,Downtown,-123.108008079327,49.2787930537543
DT61,vendor_food,open,Actual Oden,South Side of 900 W Hastings - 10 metres East of Burrard St,Japanese Cuisine,Downtown,-123.116782,49.286949
DT57,vendor_food,open,Arturo's Mexico To Go,North Side of 700 W Cordova St - 14 metres East of Howe St,Mexican Cuisine,Downtown,-123.113567537336,49.2865282200574
C18,vendor_food,open,Aussie Pie Guy,Authorised Parking Meter - 1000 W Pender St,Australian Pies,Downtown,-123.118192426382,49.2869519782249
DT40,vendor_food,open,Cazba Express,North Side of 700 Robson St - 50 Metres West of Granville St,Kebabs,Downtown,-123.12034,49.281785
C12,vendor_food,open,Chickpea,Authorised Parking Meter - North Side of W Cordova St,Vegetarian,Downtown,-123.115773447168,49.287612530414
GT02,vendor_food,open,Chou Chou Crepes,North Side of 100 Water St - 10 Metres West of Abbott St,French Crepes,Downtown,-123.106627254804,49.2839897490076
C21,vendor_food,open,Come Arepa,Authorised Parking Meter - 1000 W Hastings St,Venezuelan Cuisine,Downtown,-123.119288,49.287838
DT71,vendor_food,open,Didi's Greek,South Side of 1700 Robson St - 10 Metres East of Denman St,Greek Cuisine,West End,-123.135271203846,49.2912416908619
DT75,vendor_food,open,Eat Chicken Wraps,South Side of 800 Robson St - 28 Metres East of Hornby St,Wraps and Sandwiches,Downtown,-123.121388,49.282313
C8,vendor_food,open,Gourmet Syndicate,Authorised Parking Meter East Side of 900 Burrard St,Comfort Food,Downtown,-123.124511374389,49.2820545294215
DT26,vendor_food,open,Japadog,East Side of 500 Burrard St - 6 Metres South of West Pender St,Hot Dogs,Downtown,-123.117884,49.286363
C17,vendor_food,open,Le Tigre,Authorised Parking Meter North Side of Alberni St - East of Bute St,Chinese Cuisine,West End,-123.12561890857,49.2865915482477
EB07,vendor_food,open,Mac BBQ,South Side of 1800 Beach Av - West of Davie St,Hot Dogs,West End,-123.142526485066,49.2875878236052
DT16,vendor_food,open,Mogu,West Side of Howe St - South of Dunsmuir St,Japanese Cuisine,Downtown,-123.117633,49.284218
DT67,vendor_food,open,Mr. Arancino,West Side of Granville St - 75 Metres North of Robson St,Italian Cuisine,Downtown,-123.119039,49.281957
GM15,vendor_food,open,Mr. Sandwich,South Side of 700 W Georgia St - 20 Metres West of Granville St,Sandwiches,Downtown,-123.118453808195,49.2825423250662
DT58,vendor_food,open,Mr. Shawarma,North Side of 800 Robson St - East of Hornby St,Shawarma,Downtown,-123.12148094657,49.2825844484842
DT35,vendor_food,open,Russett Shack,West Side of 1100 Burrard St - 10 Metres North of Davie St,Potato Based Dishes,West End,-123.128965,49.279378
DT56,vendor_food,open,Sea Dogs,Coal Harbour Seawall  - 200 Metres Northeast of Broughton St,Hot Dogs,Downtown,-123.123682322296,49.2910821453032
DT32,vendor_food,open,Tandoori Tikka Dog,North Side of 500 W Cordova St - 59 Metres West of Richards St,Hot Dogs,Downtown,-123.111358832752,49.2851739115674
DT72,vendor_food,open,The Loving Hut,East Side of 1200 Pacific Boulevard - 10 Metres South of Davie St,Vegetarian and Vegan,Downtown,-123.121519625651,49.2738358886872
DT47,vendor_food,open,V Dub Dogs,Foot of Davie St - 2 Metres South of Marinaside Cres.,Hot Dogs,Downtown,-123.119509851201,49.2728501609174
C24,vendor_food,open,Vij's Railway Express,Authorised Parking Meter North Side of 1000 W Georgia St,Indian Cuisine,Downtown,-123.122541268298,49.2854937288055
DT73,vendor_food,open,Tandoori Tikka Dog,South Side of 200 West Georgia St - 8 Metres East of Hamilton St,Hot Dogs,Downtown,-123.114194279397,49.2797972582368
GM11,vendor_food,open,Van Dog,East Side of 900 Granville St - 75 Metres South of Smithe St,Hot Dogs,Downtown,-123.122119558315,49.2797455146803
C1,vendor_food,open,Vie Niapolotan,Authorised Parking Meter - West Side of 400 Burrard St,Italian Cuisine,Downtown,-123.117533501725,49.2869026428645
DT31,vendor_food,open,Yokabai,West Side of 500 Granville St - 10 Metres South of West Pender St,Burgers and Fries,Downtown,-123.115175231669,49.2845221170008
GT05,vendor_food,open,,North Side of 300 Water St - 17 Metres West of Cambie St,Hot Dogs,Downtown,-123.109160409686,49.2844467906592
DT37,vendor_food,open,,West Side of 700 Burrard St - 15 Metres North of Robson St,Hot Dogs,West End,-123.122731856953,49.283488792081
C15,vendor_food,open,Bandidas,Authorised Parking Meter - North Side of 1000 W Georgia St,Vegan Cuisine,Downtown,-123.122093113148,49.2851936823208
C14,vendor_food,open,Brasilian Roots,Authorised Parking Meter - East Side of 600 Seymour St,Brasilian Cuisine,Downtown,-123.11684601808,49.2819872240752
DT70,vendor_food,open,Commissary Connect,West Side of 600 Hornby St - 6 Metres South of Dunsmuir St,Variety Menu,Downtown,-123.118581094106,49.2849051031527
C13,vendor_food,open,Disco Cheetah,Authorised Parking Meter West Side of 700 Howe St,Korean,Downtown,-123.12044362671,49.2823678347768
