longitude,latitude,StationID,Power,Quality,num_measures,Code,recorded_tstamp
-123.093432,49.281221,31180,-53.7761,-21.7304,1,ABC3116631180,02-DEC-2021 22:01:44
-123.125137,49.276555,6277,-75.2436,-19.8316,1,ABD062636277,05-DEC-2021 18:13:09
-123.119201,49.27921,1555,-61.669,-17.3389,2,ABC015411555,07-DEC-2021 21:07:58
-123.130165,49.299902,30977,-67.7592,-5.9214,3,ABC3096330977,04-DEC-2021 00:40:48
-123.161842,49.261143,1025,-72.0668,-17.0193,1,ABC010111025,01-DEC-2021 21:12:43
-123.100816,49.272898,40119,-73.4078,-10.9126,4,ABC4010540119,03-DEC-2021 13:59:11
-123.128998,49.263134,35545,-74.1837,-10.5571,2,ABD3553135545,07-DEC-2021 14:15:43
-123.174012,49.263197,36611,-111.0131,-18.4811,1,ABD3659736611,04-DEC-2021 13:47:48
-123.116571,49.277139,32339,-54.2858,-4.5326,1,ABC3232532339,05-DEC-2021 18:13:09
-123.131046,49.27524,31688,-73.6139,-23.4527,1,ABC3167431688,07-DEC-2021 21:16:57
-123.083556,49.260575,30980,-79.1866,-13.9538,1,ABC3096630980,04-DEC-2021 00:41:29
-123.175406,49.271298,36455,-70.1816,-16.3132,1,ABD3644136455,01-DEC-2021 21:21:33
-123.17178,49.269314,30266,-76.1264,-7.8713,4,ABC302530266,06-DEC-2021 13:41:06
-123.114148,49.281283,36203,-103.4424,-15.5756,1,ABD3618936203,02-DEC-2021 00:15:06
-123.134848,49.261651,31456,-69.4234,-17.9156,13,ABC314431456,01-DEC-2021 20:16:55
-123.161395,49.271798,1207,-59.3447,-20.9722,1,ABC011931207,04-DEC-2021 14:11:07
-123.107705,49.256721,36457,-73.6743,-19.6385,1,ABD3644336457,01-DEC-2021 21:56:27
-123.161926,49.272689,6207,-71.2532,-9.0173,4,ABD061936207,04-DEC-2021 16:11:32
-123.100635,49.265502,5266,-77.415,-20.2822,1,ABD05255266,06-DEC-2021 01:40:53
-123.116331,49.277016,37056,-83.2884,-21.7847,1,ABD370437056,04-DEC-2021 16:23:31
-123.103191,49.284506,31236,-76.0748,-13.6179,2,ABC3131236,03-DEC-2021 15:18:36
-123.093053,49.258742,35237,-75.5167,-20.3378,1,ABD3522335237,05-DEC-2021 20:28:11
-123.104299,49.28261,35537,-68.6437,-16.7417,2,ABD3552335537,06-DEC-2021 13:37:12
-123.134551,49.258844,1198,-66.3357,-8.0538,2,ABC011841198,04-DEC-2021 01:15:47
-123.131923,49.287813,30619,-59.818,-19.9989,1,ABC3060530619,03-DEC-2021 15:15:04
-123.125704,49.274743,31079,-54.5169,-13.5934,2,ABC3106531079,04-DEC-2021 16:39:15
