MAPID;YEAR_CREATED;NAME;STREET_NUMBER;STREET_DIRECTION;STREET_NAME;STREET_TYPE;MERGED_ADDRESS;NUMBER_OF_PLOTS;NUMBER_OF_FOOD_TREES;NOTES;FOOD_TREE_VARIETIES;OTHER_FOOD_ASSETS;JURISDICTION;STEWARD_OR_MANAGING_ORGANIZATION;PUBLIC_E_MAIL;WEBSITE;Geo Local Area;Geom
FA001;Pre-2010;0 - Private Developments - Community Shared;;;;;;507;;;;;Private;;;;;
FA006;2011;Adanac Park Community Garden;1025;;Boundary;Road;1025 Boundary Road, Vancouver, BC;50;8;Some plots are accessible;"1 Early McIntosh Apple; 1 Jonagold apple; 2 italian plum; 2 dwarf anjou pear; 1 hardy evans cherry; 1 hardy juliet cherry";;Park Board;Adanac Community Garden Society;Adanaccommunitygarden@gmail.com;http://adanacparkcommunitygarden.blogspot.ca/;Hastings-Sunrise;"{""coordinates"": [-123.02439453, 49.27558227], ""type"": ""Point""}"
FA008;;Arbutus Village Park;4202;;Valley;Drive;4202 Valley Drive, Vancouver, BC;0;9;;Crabapple;;Park Board;;;;Arbutus-Ridge;"{""coordinates"": [-123.1549951, 49.2507172], ""type"": ""Point""}"
FA013;2012;Brewery Creek Community Garden;2390;;Brunswick;St;2390 Brunswick St, Vancouver, BC;40;11;;"Bramley's seedling apple; cortland apple; early macintosh apple; Jonafree apple; Jonagold apple; Lodi apple; Nova Mac apple; Evans cherry - hardy; Juliet cherry - hardy; Persimmon fuju; van cherry";;Park Board;Urban Diggers Society;brewerycreekgarden@gmail.com;http://brewerycreekgarden.wix.com/home;Mount Pleasant;"{""coordinates"": [-123.09573323, 49.26416489], ""type"": ""Point""}"
FA014;;Burrard View Park;650;N;Penticton;St;650 N Penticton St, Vancouver, BC;0;1;;Cherry;;Park Board;;;;Hastings-Sunrise;"{""coordinates"": [-123.0519175, 49.2912065], ""type"": ""Point""}"
FA015;pre-1970;Callister Park;2875;;Oxford;St;2875 Oxford St, Vancouver, BC;0;4;;Apple;;Park Board;;;;Hastings-Sunrise;"{""coordinates"": [-123.0453833, 49.28618], ""type"": ""Point""}"
FA025;2013;Charleson Park Community Garden;999;;Charleson;St;999 Charleson St, Vancouver, BC;38;;;;;Park Board;False Creek South Neighbourhood Association;charlesongarden@gmail.com;http://www.charlesongarden.ca/;Fairview;"{""coordinates"": [-123.12573796, 49.26776479], ""type"": ""Point""}"
FA036;2008;Cityview Baptist Church;4370;;Sophia;St;4370 Sophia  St, Vancouver, BC;6;1;;Heritage apple;;Private;Neighbours;cityview.community.garden@gmail.com;http://cityviewchurch.ca/;Riley Park;"{""coordinates"": [-123.099148, 49.2459664], ""type"": ""Point""}"
FA039;2006;Collingwood Community Gardens;3100;;Vanness;Av;3100 Vanness Av, Vancouver, BC;30;;;;;Translink;Renfrew Collingwood Food Security Institute;foodsecurity@cnh.bc.ca;http://rcfsi.blogspot.ca;Renfrew-Collingwood;"{""coordinates"": [-123.0302, 49.23774], ""type"": ""Point""}"
FA040;2012;Copley Community Orchard;3590;;Copley;St;3590 Copley St, Vancouver, BC;3;100;;range of varieties of perenial fruit and vegetables;;City;Copley Community Orchard Society;membership@copleycommunityorchard.com;http://www.copleycommunityorchard.com;Kensington-Cedar Cottage;"{""coordinates"": [-123.0578738, 49.2498017], ""type"": ""Point""}"
FA045;2009;Davie Village Garden;1157;;Burrard;St;1157 Burrard  St, Vancouver, BC;100;;;;;Private;Vancouver Public Space Network;dvgarden@gmail.com;;West End;"{""coordinates"": [-123.1293018, 49.2795117], ""type"": ""Point""}"
FA048;2011;Dowtown Intercultural Gardeners Society (DIGS);1081;;Burrard;St;1081 Burrard St, Vancouver, BC;46;;corrected from 120 to 46 (28 plots + 18 planters) in 2016;;;Private;Downtown Intercultural Gardeners Society;digsvancouver@gmail.com;http://www.digsvancouver.ca/;West End;"{""coordinates"": [-123.1290006, 49.2805963], ""type"": ""Point""}"
FA056;2010;Falaise Park;3434;;Falaise;Av;3434 Falaise Av, Vancouver, BC;0;25;;Apple, cherry, plum, pear, peach;;Park Board;Vancouver Christian School;;;Renfrew-Collingwood;"{""coordinates"": [-123.0300574, 49.2550923], ""type"": ""Point""}"
FA058;2014;Fraserlands Community Garden (Riverfront Park);2750;E;South Kent;St;2750 E South Kent St, Vancouver, BC;38;;;;;Park Board;South Vancouver Family Place;fraserlandscommunitygardening@gmail.com;https://www.facebook.com/FraserlandsCommunityGardening/;Killarney;"{""coordinates"": [-123.05065448, 49.20587682], ""type"": ""Point""}"
FA063;2011;Gaston Park;3470;;Crowley;Drive;3470 Crowley  Drive, Vancouver, BC;0;11;;quince, Asian pear, Saskatoon berry, Italian prune plum;;Park Board;Renfrew Collingwood Food Security Institute;foodsecurity@cnh.bc.ca;https://rcfood.wordpress.com/;Renfrew-Collingwood;"{""coordinates"": [-123.0311899, 49.2362316], ""type"": ""Point""}"
