Work Order ID,Status,Asset Type,Asset ID,Location ID,Created Date,Modified Date,Submitted Date,Closed Date,Fiscal Year,Work Type,Work Needed,Work Type Other,Work Requested By,Job Description,Problem Found,Action Taken,Follow-Up Needed,Child Work Order,Parent Work Order,Is Follow-Up,TMC Issue ID,Service Request #,Damage Report,Location Name,Latitude,Longitude,Location
WRK18-020130,Submitted,School Beacon,,LOC17-012180,05/23/2018 06:17:00 PM +0000,06/14/2018 02:32:00 PM +0000,05/28/2018 07:51:00 PM +0000,06/14/2018 02:32:00 PM +0000,2018,Trouble Call,Visibility Issue,,311,tree limbs growing over flashing school zone light,TREE LIMBS OBSTRUCTING SB SCHOOLZONE SIGN,TREE LIMBS REMOVED FROM IN FRONT SIGN. OTHER SIGNS/BEACONS CHECKED.,False,,,False,TMC18-058915,18-00155351,,2000 BLK ALAMEDA DR (TRAVIS HEIGHTS),,,POINT (-97.74590534 30.24144841)
WRK22-136855,Closed,School Beacon Zone,,,01/14/2022 05:32:00 PM +0000,01/27/2022 05:58:00 PM +0000,01/14/2022 06:18:00 PM +0000,01/27/2022 05:58:00 PM +0000,2022,Trouble Call,Communication Failure,,TMC/KITS,"No communication to WBCU's, change out WEB I/O.",Web i/o corrupted and damaged. Fails to communicate properly. ,Replaced web i/o and programmed ip address. Contacted Kenny at mmc for schedule uploads and description programming.  Web i/o now communicating normally.,False,,,False,TMC22-276770,,,,,,
WRK20-076825,Closed,Flashing Beacon,,LOC17-010675,02/14/2020 05:08:00 PM +0000,02/21/2020 02:29:00 PM +0000,02/20/2020 03:09:00 AM +0000,02/21/2020 02:29:00 PM +0000,2020,Trouble Call,Other,"in front of St. David's Hospital. Stuck on yellow. Not changing
Flasher may be stuck on.",311,in front of St. David's Hospital. Stuck on yellow. Not changing,Westbound overhead flashers stuck on solid ambers,Flash cube installed in each flasher signal head. Both flashers heads are now operating/flashing,False,,,False,TMC20-176380,20-00056009,,1005 BLK E 32ND ST,,,POINT (-97.724388 30.289846)
WRK21-109625,Submitted,No Asset / Unkown Location / Other,,,03/21/2021 02:34:00 PM +0000,03/29/2021 03:02:00 PM +0000,03/21/2021 03:10:00 PM +0000,03/29/2021 03:02:00 PM +0000,2021,Trouble Call,Digtess,,311,,Lines hit for AE street lights,Spoke with the technician on seen and verifed that the source wire to the intersection was not compromised.,False,,,False,TMC21-229365,21-00130660,,,,,
WRK20-101095,Closed,Other / No Asset,,,12/18/2020 08:52:00 AM +0000,12/18/2020 12:41:00 PM +0000,12/18/2020 08:56:00 AM +0000,12/18/2020 12:41:00 PM +0000,2021,Trouble Call,Digtess,,311 Customer Service Request (CSR),Digtess.,None.,"Looked up Digtess location details. Digtess was called for 43rd @ Guadalupe. Pulled up location on Google maps and we do not have any asset at that location, so there was no need to respond. No further action taken.",False,,,False,TMC20-216340,20-00512275,,,,,
WRK22-141375,Closed,School Beacon Zone,,LOC17-011410,03/08/2022 04:15:00 AM +0000,03/16/2022 06:18:00 PM +0000,03/08/2022 04:17:00 AM +0000,03/16/2022 06:18:00 PM +0000,2022,Trouble Call,Signal Out or on Flash,,311 Customer Service Request (CSR),School zone flashers were on.,School zoned flashers were on.,"Went to cabinet were the clock was, plugged into it and checked the schedule and TOD.  Found no issues and all school zone flashers turned off after that. ",False,,,False,TMC22-283690,22-00079698,,70 BLK SAN MARCOS ST (SANCHEZ),,,POINT (-97.73519591 30.25807967)
WRK17-005215,Submitted,School Beacon,7220,LOC17-011615,11/14/2017 08:40:00 PM +0000,03/05/2018 07:21:00 PM +0000,11/14/2017 08:40:00 PM +0000,03/05/2018 07:21:00 PM +0000,2018,Trouble Call,Visibility Issue,,311,The school zone flashing light on the corner of Northeast Dr. and North Hampton Dr. is hard to see. The light is angled away from Northeast Dr. so much that the shroud obscures the visibility of the light.,Visibility issue,Realigned signal head for (EB) direction. also removed wasp nest that was growing.,False,,,,TMC17-006520,17-00310981,,2400 BLK NORTHEAST DR (PEARCE),,,POINT (-97.68049119 30.31370224)
WRK21-133915,Closed,School Beacon Zone,,LOC17-012005,11/29/2021 11:01:00 PM +0000,11/30/2021 12:24:00 PM +0000,11/30/2021 12:21:00 AM +0000,11/30/2021 12:24:00 PM +0000,2022,Trouble Call,Visibility Issue,,311,Caller states the school zone flasher for eastbound traffic is turned around facing the wrong direction.,4 in loose in foundation causing rotation.,aligned and secured school zone pole/flasher. ,False,,,False,TMC21-270730,21-00526689,,6800 BLK BILL HUGHES RD (BEDICHEK),,,POINT (-97.78672586 30.19442411)
WRK17-001790,Closed,Signal,641,LOC16-003150,08/21/2017 03:36:00 PM +0000,09/14/2017 06:37:00 PM +0000,08/21/2017 03:43:00 PM +0000,09/14/2017 06:37:00 PM +0000,2017,Trouble Call,Signal Out or on Flash,,MMC,reported dark,"AE reported outages in the area
no problems found at intersection",checked all colors - headed to next dark intersection,False,,,,,,, LAMAR BLVD SVRD / RESEARCH BLVD SVRD,,,POINT (-97.7131195 30.3475475)
WRK17-002040,Submitted,Signal,908,LOC16-004475,08/30/2017 06:37:00 PM +0000,09/14/2017 07:06:00 PM +0000,08/30/2017 06:49:00 PM +0000,09/14/2017 07:06:00 PM +0000,2017,Trouble Call,Communication Failure,,Austin Transportation Staff,5.8 antenna is not working,bad poe,replaced poe and checked comm. to the tmc.,False,,,,,,,FM 620 RD / LAKE CREEK PKWY,,,POINT (-97.8160172 30.4621582)
