HOUSE,STREET,POSTAL_CODE,PID,ZONE_CODE,LONGITUDE,LATITUDE
9414,King George Blvd,V3V 5W3,9535551,CTA,-122.8453758,49.17375818
9432,134 St,V3V 5S4,1989006,RF,-122.8512466,49.17412437
9444,134 St,V3V 5S4,766623,RF,-122.8511851,49.174349
9445,135 St,V3V 5V1,3901751,RF,-122.8488729,49.1743099
9457,King George Blvd,V3V 5W4,23063441,RF,-122.8465898,49.17448202
9458,134 St,V3V 5S4,11341858,CD,-122.8511954,49.1745729
9459,135 St,V3V 5V1,3342611,RF,-122.848863,49.17451349
9470,134 St,V3V 5S4,2416042,RF,-122.8511948,49.17477512
9471,135 St,V3V 5V1,2170078,RF,-122.8488499,49.17477037
9481,135 St,V3V 5V1,9914498,RF,-122.8488405,49.17500472
9482,134 St,V3V 5S4,513172,RF,-122.8511721,49.17500618
9492,134 St,V3V 5S4,5437504,RM-D,-122.8511696,49.17519959
9520,134 St,V3V 5S5,2545845,RF,-122.8511483,49.1755912
9522,134A St,V3V 5T2,8965447,RF,-122.8497472,49.17567654
9525,King George Blvd,V3V 5W4,11069236,CTA,-122.8462134,49.17574986
9528,134 St,V3V 5S5,25871005,RF,-122.8511925,49.17575588
9534,134A St,V3V 5T2,8863695,RF,-122.8496727,49.17590106
9538,134 St,V3V 5S5,25870998,RF,-122.8511813,49.17591409
9547,134A St,V3V 5T3,437565,RM-D,-122.8501768,49.17603296
9548,134 St,V3V 5S5,857351,RF,-122.8511579,49.17606788
9551,134A St,V3V 5T3,8838828,RF,-122.850165,49.17624244
9558,134 St,V3V 5S5,10287833,RF,-122.8511684,49.17625563
9559,134A St,V3V 5T3,8838810,RF,-122.8501647,49.17637962
9564,134 St,V3V 5S5,10287787,RF,-122.8511676,49.17655895
9569,134A St,V3V 5T3,2138280,RF,-122.850142,49.17658909
9577,134A St,V3V 5T3,1792504,RM-D,-122.8501415,49.17676963
9595,King George Blvd,V3V 5W4,29125821,C-4,-122.8462154,49.17662318
9601,139 St,V3T 5H3,735043,RF-G,-122.8378695,49.17737975
9602,139 St,V3T 5H3,636428,RF-G,-122.8374987,49.17739253
9605,139 St,V3T 5H3,5580722,RF-G,-122.8379779,49.17743099
9606,139 St,V3T 5H3,5580731,RF-G,-122.8373429,49.17739528
9608,132 St,V3T 3S4,606391,RF,-122.8565779,49.17737372
9608,134 St,V3T 4A7,8582394,RF,-122.8510536,49.17733184
9609,139 St,V3T 5H3,5580714,RF-G,-122.8380507,49.17749604
9610,139 St,V3T 5H3,5580773,RF-G,-122.8372009,49.17739463
9611,137B St,V3T 4J8,7504764,RF,-122.841049,49.17723452
9611,140 St,V3T 4M2,15670830,RF,-122.8348235,49.17720898
9613,133A St,V3T 3Z7,9829814,RF,-122.8527659,49.17731764
9613,139 St,V3T 5H3,4712064,RF-G,-122.8380769,49.17757443
9614,139 St,V3T 5H3,1926756,RF-G,-122.8370796,49.17739563
9617,139 St,V3T 5H3,966924,RF-G,-122.8380718,49.17769307
9618,139 St,V3T 5H3,5580838,RF-G,-122.8369692,49.17740006
9619,134 St,V3T 4A8,24558982,RF,-122.8515046,49.17744974
9621,139 St,V3T 5H3,5580684,RF-G,-122.8380657,49.17780919
9622,132 St,V3T 3S4,18363369,RF,-122.8565603,49.177636
9622,139 St,V3T 5H3,658286,RF-G,-122.8368933,49.17742217
9625,139 St,V3T 5H3,2366461,RF-G,-122.8380065,49.17786659
9625,King George Blvd,V3T 2V3,11927801,CG-1,-122.8461807,49.1774265
9626,139 St,V3T 5H3,5580935,RF-G,-122.8368314,49.1774604
9627,133A St,V3T 3Z7,3848604,RF,-122.8528136,49.17764704
9630,133A St,V3T 3Z6,9829971,RF,-122.8523354,49.17763954
9630,139 St,V3T 5H3,2387310,RF-G,-122.8368044,49.17750902
9631,134 St,V3T 4A8,13479181,RF,-122.8514866,49.1776343
9631,137 St,V3T 4G8,2067854,C-5,-122.8436206,49.17760611
9633,139 St,V3T 5H3,2315033,RF-G,-122.8378746,49.17793063
9634,139 St,V3T 5H3,519855,RF-G,-122.8367748,49.17758391
9634,King George Blvd,V3T 0G7,13636162,RMS-2,-122.8452921,49.177493
9635,133A St,V3T 3Z7,8322384,RF,-122.8528053,49.17782194
9635,137 St,V3T 4G8,9708197,CD,-122.8436056,49.1777727
9636,132 St,V3T 3S4,18363351,RF,-122.8565597,49.17782616
9637,134 St,V3T 4A8,9829911,RF,-122.8514887,49.17781493
9637,139 St,V3T 5H3,498793,RF-G,-122.8377669,49.17793317
9638,139 St,V3T 5H3,519863,RF-G,-122.836777,49.17766514
9641,139 St,V3T 5H3,2344611,RF-G,-122.8376509,49.17789631
9642,133A St,V3T 3Z6,556882,RF,-122.8523376,49.17782853
9642,139 St,V3T 5H3,554511,RF-G,-122.8367943,49.17773506
9642,Salal Pl,V3T 5A6,6154379,RF,-122.8536608,49.17795518
9644,King George Blvd,V3T 2V4,10038809,CHI,-122.845297,49.17776025
9644,Salal Pl,V3T 5A6,6229662,RF,-122.8537751,49.17788165
9645,137 St,V3T 4G8,10038906,C-5,-122.8435978,49.17793929
9645,Salal Pl,V3T 5A8,2838290,RF,-122.8536297,49.17813154
9646,139 St,V3T 5H3,5349532,RF-G,-122.8368264,49.17778062
9646,Salal Pl,V3T 5A6,2384426,RF,-122.8540141,49.17786424
9647,Salal Pl,V3T 5A8,6233031,RF,-122.8538002,49.17823475
9648,Salal Pl,V3T 5A6,6229603,RF,-122.8542638,49.17786554
9649,140 St,V3T 4M3,8386951,RF,-122.8347968,49.17785471
9649,Salal Pl,V3T 5A8,6233023,RF,-122.8540291,49.17821435
9650,133A St,V3T 3Z6,6424236,RF,-122.8523396,49.17800934
9650,137A St,V3T 4H9,28125592,CD,-122.8417974,49.17773169
9650,139 St,V3T 5H3,822248,RF-G,-122.8368861,49.17781597
9650,Salal Pl,V3T 5A6,6229531,RF,-122.8545314,49.17786696
9651,133A St,V3T 3Z7,7904703,RF,-122.8528074,49.17800275
9651,134 St,V3T 4A8,3552543,RF,-122.8514907,49.17799565
9651,Salal Pl,V3T 5A8,6233007,RF,-122.8542836,49.17815441
9652,132 St,V3T 3S4,18363342,RF,-122.8565424,49.17801891
9652,Salal Pl,V3T 5A6,2058171,RF,-122.8547979,49.17786838
9653,Salal Pl,V3T 5A8,6232990,RF,-122.8545344,49.17815572
9654,139 St,V3T 5H3,661368,RF-G,-122.8369629,49.17784028
9654,Salal Pl,V3T 5A6,3638871,RF,-122.8550587,49.1778697
9655,137 St,V3T 4G8,5402042,C-5,-122.8435828,49.17809634
9655,Salal Pl,V3T 5A8,6232469,RF,-122.8547852,49.17815703
9656,King George Blvd,V3T 2V5,10038752,CHI,-122.8452933,49.17806204
9656,Salal Pl,V3T 5A6,6233082,RF,-122.8553316,49.17787112
9658,139 St,V3T 5H3,1153889,RF-G,-122.8370564,49.1778459
9660,Salal Pl,V3T 5A6,497061,RF,-122.8552845,49.17819472
9661,134 St,V3T 4A8,3552594,RF,-122.8514928,49.17817646
9661,137 St,V3T 4G8,10038876,RF,-122.843575,49.17826294
9661,Salal Pl,V3T 5A8,18363377,RF,-122.8556004,49.1778532
9662,133A St,V3T 3Z6,9830006,RF,-122.8523414,49.17818206
9662,139 St,V3T 5H3,2406845,RF-G,-122.8372214,49.17779558
9663,133A St,V3T 3Z7,1132288,RF,-122.8528094,49.17818356
9666,132 St,V3T 3S4,18363334,RF,-122.8565461,49.17822284
9666,139 St,V3T 5H3,5580609,RF-G,-122.8372907,49.1777077
9666,King George Blvd,V3T 2V4,2249596,CHI,-122.8452586,49.17871821
9668,133A St,V3T 3Z6,9830049,RF,-122.8523435,49.17836287
9669,133A St,V3T 3Z7,8900540,RF,-122.8528114,49.17836437
9669,Salal Pl,V3T 5A8,18363385,RF,-122.8557317,49.17792524
9670,139 St,V3T 5H3,5580650,RF-G,-122.8373208,49.17760934
9670,Salal Pl,V3T 5A6,26306301,RF,-122.8552981,49.17837806
9671,134 St,V3T 4A8,9829946,RF,-122.8514949,49.17835727
9671,137 St,V3T 4G8,31028365,CD,-122.8435744,49.17842954
9671,137A St,V3T 4J1,4923693,RF,-122.8422622,49.17843014
9673,Salal Pl,V3T 5A8,18363393,RF,-122.8557603,49.1780737
9674,137 St,V3T 4G7,10013407,RF,-122.843088,49.17841459
9676,132 St,V3T 3S4,18363326,RF,-122.856537,49.17840742
9677,137A St,V3T 4J1,10013377,RF,-122.8422532,49.17859421
9677,King George Blvd,V3T 2V3,31160034,C-8,-122.8460488,49.17836128
9678,133A St,V3T 3Z6,9830073,RF,-122.8523456,49.17854377
9678,Salal Pl,V3T 5A6,26306298,RF,-122.855275,49.17856544
9679,133A St,V3T 3Z7,9829881,RF,-122.8528134,49.17854527
9679,King George Blvd,V3T 2V3,,RM-70,-122.8472275,49.17826756
9679,Salal Pl,V3T 5A8,18363407,RF,-122.8556471,49.17823521
9681,134 St,V3T 4A8,9829962,RF,-122.8514969,49.17853826
9682,137 St,V3T 4G7,10013334,RF,-122.8430875,49.17858595
9685,Salal Pl,V3T 5A8,18363415,RF,-122.8556424,49.1784143
9686,Salal Pl,V3T 5A6,574139,RF,-122.8552688,49.17873531
9687,137A St,V3T 4J1,10013296,RF,-122.8422443,49.17875836
9688,132 St,V3T 3S4,18363318,RF,-122.8565281,49.17859469
9688,137A St,V3T 4H9,26797445,CD,-122.8417803,49.17842207
9689,133A St,V3T 3Z7,9829890,RF,-122.8528166,49.17872446
9690,137A St,V3T 4H9,10013610,RF,-122.8417949,49.17891939
9692,137 St,V3T 4G7,4146743,RF,-122.8430725,49.17874302
9693,Salal Pl,V3T 5A8,18363423,RF,-122.8556377,49.17857135
9694,133A St,V3T 3Z6,708003,RF,-122.8523476,49.17873294
9695,134 St,V3T 4A8,1452134,RF,-122.8514991,49.17872744
9696,132 St,V3T 3S4,18363300,RF,-122.8565192,49.17876829
9699,137 St,V3T 4G8,10038841,RF,-122.8435439,49.17891974
9699,137B St,V3T 4J8,2323192,RF,-122.8409563,49.17892794
9699,Salal Pl,V3T 5A8,18363431,RF,-122.8556162,49.17875312
9700,137 St,V3T 4G7,10013199,RF,-122.8430501,49.17891435
9701,137A St,V3T 4J1,10013229,RF,-122.8422352,49.17892242
9707,134 St,V3T 4A9,10415629,RM-D,-122.8515082,49.17912636
9710,137 St,V3T 4G7,10013156,RF,-122.8430278,49.1790714
9711,137 St,V3T 4G8,10038833,C-5,-122.8435433,49.17907687
9711,137A St,V3T 4J1,1683861,RF,-122.8422263,49.17908658
9711,137B St,V3T 4J8,2246392,RF,-122.8409474,49.17909227
9712,137A St,V3T 4H9,10013601,RF,-122.8417859,49.17908372
9721,134 St,V3T 4A9,1717545,RF,-122.8515116,49.17932599
9727,134 St,V3T 4A9,5949521,RF,-122.851515,49.17950488
9731,137B St,V3T 4J9,768278,RF,-122.8408805,49.17952783
9733,134 St,V3T 4A9,437093,RF,-122.8515184,49.17969673
9736,137 St,V3T 4G9,13603507,RF,-122.8428418,49.17960708
9741,137A St,V3T 4J3,9770321,RF,-122.8419939,49.17963749
9746,137 St,V3T 4G9,9770305,RF,-122.8428328,49.17978374
9747,137 St,V3T 4H1,891487,RF,-122.8432718,49.17978731
9748,137B St,V3T 4K1,977152,RF,-122.8405007,49.17976927
9749,137A St,V3T 4J3,4325770,RF,-122.8419933,49.17983296
9755,King George Blvd,V3T 5P9,14087332,C-8,-122.8459247,49.17954334
9756,137 St,V3T 4G9,5825555,RF,-122.8428238,49.1799604
9756,137A St,V3T 4J2,9770356,RF,-122.8415622,49.17983533
9757,137 St,V3T 4H1,8140961,RF,-122.8432669,49.17996208
9759,134 St,V3T 4A9,872636,RM-D,-122.8515177,49.1799171
9759,137A St,V3T 4J3,1949063,RF,-122.8419816,49.18002167
9762,137B St,V3T 4K1,10465090,RF,-122.8404452,49.18002016
9764,137 St,V3T 4G9,2725410,RF,-122.8428148,49.18013714
9765,137 St,V3T 4H1,9767959,RF,-122.8432618,49.18014567
9769,134 St,V3T 4A9,10515119,RF,-122.8515249,49.18013487
9770,King George Blvd,V3T 2V6,13974734,CHI,-122.8451837,49.17993167
9772,137B St,V3T 4K1,10465111,RF,-122.8403024,49.18017172
9774,134 St,V3T 4A7,2189577,RF,-122.8511102,49.18023257
9774,137 St,V3T 4G9,5926297,RF,-122.8427875,49.18031251
9775,137 St,V3T 4H1,9767967,RF,-122.8432341,49.18032032
9775,137A St,V3T 4J3,9770330,RF,-122.8419694,49.1802298
9779,134 St,V3T 4A9,10515127,RF,-122.8515204,49.18032153
9782,137B St,V3T 4K1,483915,RF,-122.8401058,49.18029909
9785,140 St,V3T 4M4,11397756,RF,-122.8346623,49.18015752
9789,134 St,V3T 4A9,4674936,RF,-122.8515238,49.18051598
9795,140 St,V3T 4M4,11397748,RF,-122.8346492,49.18039154
9801,King George Blvd,V3T 5H5,5552052,C-35,-122.8459796,49.18091557
9803,140 St,V3T 4M4,9770372,PA-2,-122.834614,49.18060228
9815,140 St,V3T 4M4,9770381,PA-1,-122.8346039,49.18072603
9822,134 St,V3T 5B4,9506225,RF,-122.8511184,49.18082768
9830,134 St,V3T 5B4,6079768,RF,-122.8511156,49.18120012
9837,134 St,V3T 5G7,3231976,RF,-122.8514762,49.18131132
9851,134 St,V3T 5G7,3231950,RF,-122.851487,49.18149727
9852,132 St,V3T 3S6,1326821,RF,-122.8564133,49.18174391
9856,138 St,V3T 4K2,2214415,RF,-122.8394423,49.18162028
9859,138 St,V3T 5E3,5098408,RM-D,-122.8398764,49.18173316
9860,138 St,V3T 4K2,10122338,RF,-122.8394326,49.18178452
9866,132 St,V3T 3S6,1311271,RF,-122.8563759,49.18193151
9869,134 St,V3T 5G7,1653628,RM-D,-122.8515474,49.18172754
9870,133A St,V3T 5G5,1656881,RM-D,-122.8523603,49.18184634
9871,138 St,V3T 5E3,5098386,RM-D,-122.8398634,49.18195226
9876,132 St,V3T 3S6,5269792,RF,-122.8563687,49.18210062
9876,134 St,V3T 4B1,5073600,RF,-122.8511336,49.18188937
9876,138 St,V3T 4K2,624829,RF,-122.839423,49.18194885
9877,134 St,V3T 5G7,942430,RM-D,-122.851557,49.18194848
9880,133A St,V3T 5G5,5121957,RF,-122.8522689,49.18203585
9881,132A St,V3T 5E8,5122414,RF,-122.8554688,49.1822122
9882,132A St,V3T 5E9,4715284,RF,-122.8550565,49.18218109
9883,138A St,V3T 4K9,9310151,RF,-122.838566,49.182085
9883,140 St,V3T 4M4,16271564,RM-45,-122.834569,49.18210166
9884,138 St,V3T 4K2,443387,RF,-122.8394133,49.18211309
9885,133A St,V3T 5G4,2230551,RF,-122.8527819,49.18217414
9885,134 St,V3T 5G7,1653903,RM-D,-122.8515619,49.18219019
9885,138 St,V3T 5E3,1650033,RM-D,-122.8398505,49.18217137
9886,134 St,V3T 4B1,10010068,RF,-122.8510963,49.18222859
9889,132A St,V3T 5E8,5122449,RF,-122.8554642,49.18236458
9890,132 St,V3T 3S6,5269822,RF,-122.8563612,49.18227449
9890,132A St,V3T 5E9,5122651,RF,-122.8550489,49.18236072
9892,138 St,V3T 4K2,10122290,RF,-122.8394037,49.18227743
9892,138A St,V3T 4L1,9310134,RF,-122.8381152,49.18229827
9893,133A St,V3T 5G4,5122830,RF,-122.8527812,49.1823885
9893,138 St,V3T 5E3,1649949,RM-D,-122.8398376,49.18239048
9894,133 St,V3T 5G1,5122805,RF,-122.8537011,49.18240542
9895,133 St,V3T 5G1,5122724,RF,-122.8540827,49.18240951
9896,132 St,V3T 3S6,3127176,RF,-122.8563538,49.18244926
9897,132A St,V3T 5E8,5122473,RF,-122.8554541,49.18253952
9897,138A St,V3T 4K9,9310118,RF,-122.8385518,49.18230744
9898,132A St,V3T 5E9,1713167,RF,-122.8550412,49.18253936
9900,138 St,V3T 4K2,4633563,RF,-122.8393939,49.18244167
9900,King George Blvd,V3T 0K7,30272009,CD,-122.8449941,49.18220838
9901,133A St,V3T 5G4,5122848,RF,-122.8527842,49.1825792
9901,138A St,V3T 4K9,9314806,RF,-122.838536,49.1825287
9902,132 St,V3T 3S8,28162978,RF-SD,-122.856354,49.18257278
9902,133 St,V3T 5G1,5122783,RF,-122.8535029,49.18256564
9903,133 St,V3T 5G1,5036402,RF,-122.854286,49.18257105
