FULL_ADDRESS,LOCALITY,LONGITUDE,LATITUDE
5464 157 St,SURREY,-122.78772294197505,49.101982027337264
15832 Colebrook Rd,SURREY,-122.78479657400891,49.098934531680115
4630 160 St,SURREY,-122.77842465921174,49.08629285087971
5118 160 St,SURREY,-122.77874137439485,49.094767594875826
5224 160 St,SURREY,-122.77875481334489,49.09757548899691
5276 160 St,SURREY,-122.77748503495475,49.098441638666436
15926 Highway 10 (56 Ave),SURREY,-122.7809516817897,49.104234485049304
16237 50 Ave,SURREY,-122.77268405020473,49.09338652512027
16104 Highway 10 (56 Ave),SURREY,-122.77577707236837,49.10424959569092
16181 Highway 10 (56 Ave),SURREY,-122.77434045312877,49.104706950347385
16087 59 Ave,SURREY,-122.77639250113762,49.11001502065536
16156 59 Ave,SURREY,-122.77420650524026,49.109645854538485
16261 61A Ave,SURREY,-122.7719839970267,49.114866411142216
16265 61A Ave,SURREY,-122.77181345044592,49.11493806114461
16277 61A Ave,SURREY,-122.77152563816094,49.11491840178881
7752 162A St,SURREY,-122.77158840287728,49.14366058657485
7787 162A St,SURREY,-122.77208011144086,49.14417447688157
16227 78 Ave,SURREY,-122.77200543356332,49.14469074909538
16261 78 Ave,SURREY,-122.77137707420462,49.14470911034679
16390 48 Ave,SURREY,-122.76885977518684,49.089440862184254
16469 48 Ave,SURREY,-122.76602552666124,49.08977199454543
16387 50 Ave,SURREY,-122.76868772951934,49.09339149950323
5324 164 St,SURREY,-122.76720199095773,49.09927665013939
5312 164 St,SURREY,-122.76701614721462,49.0988055241817
16330 60 Ave,SURREY,-122.77044684695625,49.111473161801484
16345 59 Ave,SURREY,-122.76980663957855,49.10991483074216
16346 58A Ave,SURREY,-122.76960473788404,49.108490753185244
5862 163A St,SURREY,-122.76938843000376,49.10888423863893
16358 58A Ave,SURREY,-122.76910420925446,49.10834578450591
16363 58A Ave,SURREY,-122.76887135710712,49.108544018309736
5986 163B St,SURREY,-122.76869077099983,49.111125353970245
16390 60 Ave,SURREY,-122.7683806709445,49.11149438147533
5858 163B St,SURREY,-122.76819516728324,49.10848169675534
5880 163B St,SURREY,-122.76818375783976,49.10902050169597
5848 163B St,SURREY,-122.76817002166041,49.10817000314335
5981 164 St,SURREY,-122.76795955821413,49.1111941159072
5999 164 St,SURREY,-122.76795572567688,49.11143238245152
5945 164 St,SURREY,-122.7679276548894,49.1104869704656
5932 164 St,SURREY,-122.76756324476283,49.110293206601895
16492 58 Ave,SURREY,-122.76719967025738,49.108352884639224
16428 60 Ave,SURREY,-122.7671479539682,49.11147213512723
16438 60 Ave,SURREY,-122.76678613684383,49.11146768607489
16502 58 Ave,SURREY,-122.76676499092311,49.10816165889867
16441 59A Ave,SURREY,-122.76656722800428,49.11102336393304
5906 164A St,SURREY,-122.766557719329,49.110114331600734
5900 164A St,SURREY,-122.76651808797475,49.110016622887116
16470 60 Ave,SURREY,-122.76591546514521,49.111462205245715
5848 165 St,SURREY,-122.76592590393084,49.10891041115412
16478 59A Ave,SURREY,-122.7658970748169,49.11080028251771
16476 60 Ave,SURREY,-122.76580236154435,49.11146569098098
6149 163 St,SURREY,-122.77094098831871,49.114641465377865
16314 60A Ave,SURREY,-122.7708945740364,49.11224891037654
6049 163A St,SURREY,-122.7704517675751,49.11250047011883
6087 163A St,SURREY,-122.7702138059847,49.113177086053
6050 163A St,SURREY,-122.77006359935652,49.1127832414561
6119 163A St,SURREY,-122.76994079418286,49.11392699845724
16337 61A Ave,SURREY,-122.76988277434816,49.11487122851362
16360 60A Ave,SURREY,-122.76962797590936,49.11226937775978
16359 60 Ave,SURREY,-122.76930576084663,49.11174535829207
16371 61A Ave,SURREY,-122.76904119412917,49.11476688295369
6137 163B St,SURREY,-122.7689120018538,49.11423618897601
16375 61A Ave,SURREY,-122.76890377157915,49.11468105765546
6103 163B St,SURREY,-122.76886404115012,49.11355849461681
6073 163B St,SURREY,-122.7688662784689,49.112902012088625
6049 164 St,SURREY,-122.76798204237103,49.11239067313475
