CULTURAL_SPACE_NAME,WEBSITE,TYPE,PRIMARY_USE,ADDRESS,LOCAL_AREA,OWNERSHIP,SQUARE_FEET,NUMBER_OF_SEATS,ACTIVE_SPACE
15th Field Artillery Regiment Museum and Archives,www.memorybc.ca/museum-of-15th-field-artillery-regiment,Museum/Gallery,Museum/Gallery,"2025 W 11th Av, Vancouver, BC, V6J 2C7",Kitsilano,Privately Owned,,,Yes
221A Artist Run Centre,www.221a.ca/?,Museum/Gallery,Museum/Gallery,"221 E Georgia St, Vancouver, BC, V6A 1Z6",Strathcona,Privately Owned,9000,,Yes
222 E Georgia Studios,http://projectspace.ca/blog/,Studio/Rehearsal ,Artist Studio,"222 E Georgia St, Vancouver, BC, V6A 1Z7",Strathcona,Privately Owned,5980,,Yes
Aberthau Mansion/West Point Grey Community Centre,,Community Space,Community Centre/Hall,"4397 W 2nd Av, Vancouver, BC, V6R 1K4",West Point Grey,City of Vancouver,2930,,Yes
Acme Studios,https://www.facebook.com/ACMEstudiobuilding,Studio/Rehearsal ,Artist Studio,"112 E Hastings St, Vancouver, BC, V6A 4J1",Downtown,Privately Owned,18000,,Yes
AHVA Gallery,http://gallery.ahva.ubc.ca/about/,Museum/Gallery,Museum/Gallery,"6398 University Blvd, Vancouver, BC, ",UBC,Other,1990,,Yes
Al Mozaico Flamenco Dance Academy,http://www.mozaicoflamenco.com/,Educational,Educational Institution,"828 E Hastings St, Vancouver, BC, V6A 1R6",Strathcona,Privately Owned,,,Yes
Alliance for Arts and Culture,http://www.allianceforarts.com,Museum/Gallery,Library/Archives,"938 Howe St, Vancouver, BC, V6Z 1N9",Downtown,Privately Owned,4095,30,Yes
Alliance Francaise de Vancouver,http://www.alliancefrancaise.ca/,Community Space,Community Centre/Hall,"6161 Cambie St, Vancouver, BC, V5Z 3B2",Oakridge,Privately Owned,,,Yes
Alternative Creations Studio,http://www.arthives.org/arthives/alternative-creations-studio,Studio/Rehearsal ,Artist Studio,"1387 Venables St, Vancouver, BC, V5L 2G1",Strathcona,Privately Owned,,,Yes
Another Space for Community Creative Arts Studio,http://anotherspace.ca/,Studio/Rehearsal ,Artist Studio,"1523 E Pender St, Vancouver, BC, V5L 1V9",Grandview-Woodland,Privately Owned,,,Yes
Anza Club (Australia-New Zealand Association),http://www.anzaclub.org,Theatre/Performance,Performance Space,"3 W 8th Av, Vancouver, BC, V5Y 1M8",Mount Pleasant,Non-Profit,2885,135,Yes
Architectural Institute of BC Gallery,www.aibc.ca,Museum/Gallery,Museum/Gallery,"440 Cambie St, Vancouver, BC, V6B 2N5",Downtown,,250,,Yes
Art Beatus,www.artbeatus.com,Museum/Gallery,Museum/Gallery,"808 Nelson St, Vancouver, BC, V6Z 2H2",Downtown,Privately Owned,3700,,Yes
Art Emporium,http://www.theartemporium.ca,Museum/Gallery,Museum/Gallery,"2928 Granville St, Vancouver, BC, V6H 3J7",Fairview,Privately Owned,,,Yes
Art Works Gallery,http://artworksbc.com/,Museum/Gallery,Museum/Gallery,"225 Smithe St, Vancouver, BC, V6B 4X7",Downtown,Privately Owned,,,Yes
Arts Club Theatre - Backstage Lounge,www.thebackstagelounge.com,Cafe/Restaurant/Bar,Bar/Lounge/Cabaret,"1585 Johnston St, Vancouver, BC, V6H 3R9",Fairview,Government,,60,Yes
Arts Club Theatre - Granville Island Stage,www.artsclub.com,Theatre/Performance,Theatre,"1585 Johnston St, Vancouver, BC, V6H 3R9",Fairview,Government,17790,430,Yes
Arts Club Theatre - Production Centre,,Studio/Rehearsal ,Workshop,"1377 Cartwright St, Vancouver, BC, V6H 3R7",Fairview,Government,11282,,Yes
Arts Club Theatre - Revue Stage,http://www.artsclub.com,Theatre/Performance,Theatre,"1601 Johnston St, Vancouver, BC, V6H 3R9",Fairview,Government,6428,198,Yes
Arts Club Theatre - Stanley Industrial Alliance Stage,http://www.artsclub.com,Theatre/Performance,Theatre,"2750 Granville St, Vancouver, BC, V6H 3J3",Fairview,Non-Profit,16500,650,Yes
Arts Factory, http://www.artsfactorysociety.ca/,Studio/Rehearsal ,Artist Studio,"281 Industrial, Vancouver, BC, V5A 2P2",Strathcona,City of Vancouver,21000,,Yes
Arts Umbrella,www.artsumbrella.com,Educational,Educational Institution,"1286 Cartwright St, Vancouver, BC, V6H 3R8",Fairview,Government,18000,,Yes
Arts Umbrella - E 7th,http://www.artsumbrella.com/contact,Educational,Educational Institution,"77 E 7th Av, Vancouver, BC, V5T 1M4",Mount Pleasant,Other,,,Yes
Artspeak Gallery,www.artspeak.ca/?,Museum/Gallery,Museum/Gallery,"233 Carrall St, Vancouver, BC, V6B 2J2",Downtown,Non-Profit,990,,Yes
Artstarts in Schools,www.artstarts.com,Museum/Gallery,Museum/Gallery,"808 Richards St, Vancouver, BC, V6B 3A7",Downtown,Privately Owned,6000,,Yes
Astorino's Hall,http://www.safeamp.org/events/astorinos.html,Theatre/Performance,Performance Space,"1739 Venables St, Vancouver, BC, V5L 2H3",Grandview-Woodland,Privately Owned,3000,,Yes
Audain Gallery,https://www.sfu.ca/galleries/audain-gallery.html,Museum/Gallery,Museum/Gallery,"149 W Hastings St, Vancouver, BC, V6B 1H4",Downtown,Other,,,Yes
Ayden Gallery,www.aydengallery.com?,Museum/Gallery,Museum/Gallery,"88 W Pender St, Vancouver, BC, V6B 6N9",Downtown,Privately Owned,4100,,Yes
Back Gallery Project,http://www.backgalleryproject.com/,Museum/Gallery,Museum/Gallery,"602 E Hastings St, Vancouver, BC, V6A 1R1",Strathcona,Privately Owned,900,,Yes
Backspace - Blake Williams,www.blakewilliams.ca,Studio/Rehearsal ,Artist Studio,"1318 Grant St, Vancouver, BC, V5L 2X5",Grandview-Woodland,Privately Owned,1700,75,Yes
BAF Studio,http://www.burrardarts.org/about.html,Museum/Gallery,Museum/Gallery,"108 E Broadway Av, Vancouver, BC, V5T 1V9",Mount Pleasant,Privately Owned,2000,,Yes
BAF Studio,http://www.burrardarts.org/about.html,Studio/Rehearsal ,Artist Studio,"108 E Broadway Av, Vancouver, BC, V5T 1V9",Mount Pleasant,Privately Owned,1200,,Yes
Basic Inquiry,http://www.lifedrawing.org/index.html,Museum/Gallery,Museum/Gallery,"1011 Main St, Vancouver, BC, V6A 4L4",Downtown,Privately Owned,,,Yes
Bau-Xi Gallery,www.bau-xi.com,Museum/Gallery,Museum/Gallery,"3045 Granville St, Vancouver, BC, V6H 3J9",Fairview,Privately Owned,,,Yes
