LINE,x,y
Canada Line,491028.2139014944,5449349.6110800505
Canada Line,491145.97177009645,5449411.166824074
Canada Line,491166.00102941436,5449421.789321836
Canada Line,491185.6160791405,5449433.158513175
Canada Line,491194.86122111086,5449439.1382999085
Canada Line,491203.8843368415,5449445.448124145
Canada Line,491212.6736500822,5449452.079750806
Canada Line,491221.21768971905,5449459.024524818
Canada Line,491229.5053047504,5449466.273382417
Canada Line,491237.5256788418,5449473.816862967
Canada Line,491245.2683444393,5449481.645121321
Canada Line,491252.7231964302,5449489.747940656
Canada Line,491267.25233006355,5449507.153064973
Canada Line,491281.09288391715,5449525.110602268
Canada Line,491347.04110988806,5449607.585288038
Canada Line,491362.8369692751,5449628.641375108
Canada Line,491376.3326002273,5449648.314395533
Canada Line,491381.79339766054,5449657.22529241
Canada Line,491386.9457924159,5449666.317993881
Canada Line,491391.78373862087,5449675.581830465
Canada Line,491396.3015593706,5449685.005931877
Canada Line,491400.49395340803,5449694.579239769
Canada Line,491404.3560013281,5449704.290520714
Canada Line,491407.88317136193,5449714.128379391
Canada Line,491411.0713246889,5449724.08127194
Canada Line,491413.9167202934,5449734.13751953
Canada Line,491416.4160193587,5449744.285322048
Canada Line,491418.56628917786,5449754.512771948
Canada Line,491420.36500659847,5449764.807868227
Canada Line,491421.8100609894,5449775.158530503
Canada Line,491424.29633734596,5449800.135407397
Canada Line,491425.6924497547,5449825.19686824
Canada Line,491450.58674704604,5450503.974337716
Canada Line,491451.56621553394,5450528.827447049
Canada Line,491453.22990934394,5450553.644145559
Canada Line,491456.0343261213,5450578.3023101045
Canada Line,491459.5473470264,5450602.869534539
Canada Line,491464.2721643353,5450636.420670269
Canada Line,491467.7729880094,5450670.121513597
Canada Line,491470.04518107325,5450703.927426484
Canada Line,491475.811757654,5450803.652040823
Canada Line,491477.97890554304,5450854.17581586
Canada Line,491485.81452572875,5451061.066567603
Canada Line,491491.1571195069,5451236.848369469
Canada Line,491496.63552321686,5451396.783299462
Canada Line,491506.928698234,5451774.022465653
Canada Line,491525.55461708084,5452447.49003881
Canada Line,491526.95521258557,5452507.449848987
Canada Line,491551.2415060392,5453381.97123554
Canada Line,491557.1325282541,5453585.0981266685
Canada Line,491559.24843583594,5453665.038372942
Canada Line,491566.55845551856,5453897.683542824
Canada Line,491567.174190345,5453917.525557347
Canada Line,491567.0480126395,5453922.840036228
Canada Line,491566.7339521994,5453928.146727535
Canada Line,491566.23240200215,5453933.438991131
Canada Line,491565.54398962355,5453938.710204937
Canada Line,491564.6695764599,5453943.953773207
Canada Line,491563.61025664094,5453949.163134791
Canada Line,491562.3673556721,5453954.331771338
Canada Line,491560.9424287605,5453959.45321546
Canada Line,491559.3372588867,5453964.521058814
Canada Line,491557.5538545584,5453969.528960129
Canada Line,491555.5944473097,5453974.470653141
Canada Line,491553.4614888993,5453979.339954426
Canada Line,491551.1576482452,5453984.130771142
Canada Line,491548.68580808886,5453988.8371086605
Canada Line,491546.0490613839,5453993.453078049
Canada Line,491542.4406851069,5453999.210183429
Canada Line,491538.6546078639,5454004.852014763
Canada Line,491534.69450920424,5454010.373088961
Canada Line,491425.11193119135,5454160.723736168
Canada Line,491419.1899886013,5454168.9410232
Canada Line,491413.59034778416,5454177.274247089
Canada Line,491410.7945083824,5454181.8678245945
Canada Line,491408.1622402159,5454186.557050178
Canada Line,491405.6968114994,5454191.336101707
Canada Line,491403.4012833037,5454196.199045523
Canada Line,491401.2785057502,5454201.139843809
Canada Line,491399.33111447265,5454206.152362088
Canada Line,491397.56152734935,5454211.230376826
Canada Line,491395.97194149136,5454216.367583174
Canada Line,491394.56433052756,5454221.557602792
Canada Line,491393.34044214163,5454226.793991765
Canada Line,491392.30179590965,5454232.0702486085
Canada Line,491391.4496814134,5454237.379822333
Canada Line,491390.7851566361,5454242.716120591
Canada Line,491390.3090466501,5454248.072517844
Canada Line,491390.0219425906,5454253.442363608
Canada Line,491389.9313815311,5454263.5263903495
