STATION,x,y
WATERFRONT,491874.0992580403,5459264.233111046
BURRARD,491275.2494716314,5459241.211852645
GRANVILLE,491534.36716585426,5458993.733415074
STADIUM - CHINATOWN,492031.0829471225,5458526.518421882
MAIN ST. - SCIENCE WORLD,492681.68541233125,5457829.264719692
BROADWAY,494972.43961245305,5456563.789235073
NANAIMO,495933.76658091333,5455057.123076701
29TH AVENUE,496656.24418598186,5454608.663938114
JOYCE - COLLINGWOOD,497684.69969309814,5453957.926026339
RUPERT,497611.740399634,5456444.940510201
RENFREW,496703.2351910036,5456237.313791233
COMMERCIAL DRIVE,495019.5180258235,5456688.08172245
VCC - CLARK,494255.29511481454,5457005.321339244
WATERFRONT,491757.59371812147,5459218.857871493
VANCOUVER\nCITY\nCENTRE,491324.577244438,5458782.504394951
YALETOWN-/nROUNDHOUSE,491133.702831362,5457963.206821088
OLYMPIC\nVILLAGE,491619.24310240126,5457070.631483893
BROADWAY-\nCITY HALL,491648.7965765902,5456674.06724415
KING EDWARD,491606.18043281883,5455156.590106228
OAKRIDGE-\n41st. AVE.,491552.23376904416,5453416.185212682
LANGARA-\n49th AVE.,491530.33488011797,5452629.147774706
MARINE DRIVE,491473.12822691747,5450757.244252064
