longitude,latitude,elevation,StationID,Power,Quality,num_measures,Code,recorded_tstamp
-123.142746,49.260838,46,36285,-70.8030,-20.2642,1,ABD3627136285,05-DEC-2011 01:53:49
-123.152763,49.268216,38,11430,-83.3583,-16.9455,2,ABC1141611430,03-DEC-2011 19:56:00
-123.145171,49.291555,14,32247,-54.0965,-9.5716,6,ABC3223332247,07-DEC-2011 20:53:16
-123.079565,49.261448,24,1270,-41.9653,-6.1465,2,ABC012561270,01-DEC-2011 23:33:44
-123.118541,49.286118,24,35286,-68.7671,-11.2485,1,ABD352735286,04-DEC-2011 00:39:29
-123.162637,49.257737,28,31289,-68.1009,-16.5198,60,ABC3127531289,05-DEC-2011 01:46:37
-123.147024,49.263734,39,30277,-79.8283,-13.3031,2,ABC3026330277,01-DEC-2011 21:34:57
-123.118729,49.289904,0,32276,-70.3033,-15.4926,1,ABC322632276,05-DEC-2011 19:15:06
-123.081615,49.270844,7,37067,-69.5071,-20.7213,2,ABD3705337067,04-DEC-2011 16:04:56
-123.130061,49.279649,41,36612,-88.0698,-20.1211,1,ABD3659836612,05-DEC-2011 16:53:44
-123.077835,49.277659,13,70,-73.0810,-17.2115,3,ABC0005670,07-DEC-2011 19:05:20
-123.107192,49.26743,10,10712,-66.3379,-20.9228,1,ABC1069810712,05-DEC-2011 22:46:19
-123.164793,49.257595,26,36613,-68.9707,-5.5501,1,ABD3659936613,06-DEC-2011 17:53:33
-123.180143,49.265141,18,1337,-57.8175,-18.8909,1,ABC013231337,02-DEC-2011 22:13:21
-123.182605,49.264313,19,36466,-72.2756,-21.9430,1,ABD364536466,04-DEC-2011 16:19:13
-123.081409,49.269044,7,1635,-68.8868,-13.2472,2,ABC016211635,04-DEC-2011 13:47:49
-123.104735,49.263002,36,35737,-70.4739,-10.2282,6,ABD3572335737,06-DEC-2011 15:25:36
-123.086834,49.258793,49,30760,-84.0727,-16.0961,2,ABC3074630760,06-DEC-2011 16:53:07
-123.157907,49.25748,37,1479,-67.5837,-9.8958,3,ABC014651479,07-DEC-2011 01:31:16
-123.139247,49.265359,30,35236,-85.4994,-18.0150,1,ABD3535236,05-DEC-2011 20:33:53
-123.089304,49.275151,8,30408,-60.8772,-18.3273,1,ABC3039430408,03-DEC-2011 01:12:42
-123.147611,49.291196,12,30375,-69.5679,-19.3475,2,ABC3036130375,06-DEC-2011 20:12:33
-123.108752,49.266555,11,36241,-104.0127,-17.6001,1,ABD3622736241,04-DEC-2011 17:00:07
-123.140574,49.31344,29,1089,-68.4689,-18.1147,1,ABC010751089,01-DEC-2011 21:16:04
-123.089472,49.266744,7,288,-68.2964,-14.0556,3,ABC00274288,06-DEC-2011 01:41:24
-123.135587,49.302769,21,30489,-62.6153,-16.2866,2,ABC3047530489,03-DEC-2011 15:09:19
-123.123421,49.275352,20,37046,-72.6231,-12.9780,1,ABD370337046,05-DEC-2011 15:44:32
-123.08519,49.264709,23,30627,-61.3631,-22.2639,1,ABC3061330627,07-DEC-2011 18:23:19
-123.155302,49.263737,37,36065,-69.9337,-15.4067,1,ABD3605136065,01-DEC-2011 21:28:17
-123.163371,49.273595,14,1568,-43.3838,-9.0414,3,ABC015541568,04-DEC-2011 00:05:56
-123.179716,49.267863,20,31953,-61.2560,-19.9851,2,ABC3193931953,04-DEC-2011 14:06:37
-123.112149,49.269141,8,36697,-67.4691,-12.4177,2,ABD3668336697,02-DEC-2011 18:55:29
-123.138468,49.261709,46,32056,-74.5306,-16.3616,3,ABC320432056,05-DEC-2011 21:02:48
-123.177595,49.271122,18,6505,-69.7729,-16.5679,2,ABD064916505,04-DEC-2011 00:31:46
-123.185842,49.264793,15,35275,-72.8547,-12.2399,3,ABD3526135275,02-DEC-2011 19:12:17
-123.087375,49.276156,8,1268,-56.6447,-13.5461,1,ABC012541268,01-DEC-2011 23:34:09
-123.183904,49.261037,24,43132,-97.3730,-20.9342,2,ABD4311843132,07-DEC-2011 20:25:39
-123.141944,49.270605,12,1716,-80.3316,-22.8157,1,ABC01701716,04-DEC-2011 16:09:31
-123.089206,49.256419,55,1267,-88.4182,-14.7408,2,ABC012531267,07-DEC-2011 14:23:38
-123.104708,49.267531,12,30548,-75.6570,-15.5906,2,ABC3053430548,07-DEC-2011 16:12:03
-123.152562,49.27361,6,900,-64.0064,-8.8661,1,ABC00886900,06-DEC-2011 21:37:50
-123.1132,49.273123,5,35076,-66.9070,-12.3501,3,ABD350635076,05-DEC-2011 13:17:16
-123.127793,49.257023,57,36076,-75.6761,-19.3796,1,ABD360636076,04-DEC-2011 16:35:08
-123.07758,49.259622,31,43126,-86.3455,-19.6564,1,ABD431143126,07-DEC-2011 14:23:37
-123.123922,49.281224,33,31340,-41.1956,-9.9987,2,ABC3132631340,02-DEC-2011 22:22:28
-123.085404,49.26059,43,31719,-72.5326,-22.9324,1,ABC3170531719,01-DEC-2011 21:12:44
-123.08099,49.262409,24,1485,-59.9023,-18.3146,33,ABC014711485,06-DEC-2011 16:58:10
-123.143524,49.260088,45,820,-67.1348,-13.5716,2,ABC00806820,07-DEC-2011 18:54:23
-123.145253,49.306079,35,30598,-75.3201,-6.8213,1,ABC3058430598,07-DEC-2011 15:59:42
-123.096946,49.258357,53,30696,-48.0401,-20.9772,2,ABC306830696,06-DEC-2011 13:59:08
-123.078735,49.267347,13,6482,-67.7814,-11.0264,1,ABD064686482,03-DEC-2011 13:26:24
-123.105038,49.284943,8,10712,-79.2667,-12.4187,1,ABC1069810712,05-DEC-2011 22:20:00
-123.128595,49.286994,42,32279,-67.8766,-20.7278,3,ABC3226532279,07-DEC-2011 14:37:15
-123.170576,49.266673,19,31235,-48.7914,-19.3474,3,ABC3122131235,03-DEC-2011 14:32:39
-123.089112,49.282091,16,31656,-66.7604,-16.8490,3,ABC316431656,07-DEC-2011 18:49:51
-123.124124,49.26517,20,1339,-62.7924,-19.2893,1,ABC013251339,01-DEC-2011 21:55:55
-123.143473,49.301208,22,35966,-85.2464,-21.5018,3,ABD359535966,04-DEC-2011 01:18:11
-123.106288,49.262104,38,31237,-73.3321,-18.0266,1,ABC3122331237,04-DEC-2011 16:34:46
