TICKETID,HUNDRED_BLOCK,STREET,DATE,BYLAW,SECTION,STATUS,DESCRIPTION,PAYMENT,OPERATOR
101010,10,Robson St.,2016-01-02,2952,5(4)(a)(ii),I,FLASHING 4 ZEROS,Y,2
101011,10,Cordova St. W.,2016-01-02,2849,21.1,V,PASSENGER ZONE,Y,2
101012,2,10th Ave E.,2016-01-02,2952,5(4)(a)(ii),I,FLASHING 4 ZEROS,Y,2
101013,7,Richards St.,2016-01-02,2849,17.1,I,NO STOPPING,Y,2
101014,2,Broadway St. W.,2016-01-02,2952,5(4)(a)(ii),V,FLASHING 4 ZEROS,Y,2
101015,1,Broadway St. W.,2016-01-02,2952,5(4)(a)(ii),I,FLASHING 4 ZEROS,Y,2
101016,16,1st Ave W.,2016-01-02,2952,5(4)(a)(ii),I,FLASHING 4 ZEROS,N,1
101017,25,Blenheim St.,2016-01-02,2952,5(4)(a)(ii),I,FLASHING 4 ZEROS,N,1
101018,44,10th Ave W.,2016-01-02,2952,5(4)(a)(ii),I,FLASHING 4 ZEROS,N,1
101019,43,10th Ave W.,2016-01-02,2952,5(4)(a)(ii),I,FLASHING 4 ZEROS,N,1
201010,36,17th Ave W.,2016-01-02,2849,17.5(B),I,SIDEWALK<6M,N,
201011,6,Seymour St.,2016-01-02,2952,5(4)(a)(ii),I,FLASHING 4 ZEROS,N,
201012,30,Broadway St. W.,2016-01-02,2952,5(4)(a)(ii),I,FLASHING 4 ZEROS,N,
201013,12,Melville St.,2016-01-02,2952,5(4)(a)(ii),I,FLASHING 4 ZEROS,N,
201014,12,Alberni St.,2016-01-02,2952,5(4)(a)(ii),I,FLASHING 4 ZEROS,N,
