LicenceRSN,LicenceNumber,LicenceRevisionNumber,BusinessName,BusinessTradeName,Status,IssuedDate,ExpiredDate,BusinessType,BusinessSubType,Unit,UnitType,House,Street,City,Province,Country,PostalCode,LocalArea,NumberOfEmployees,Latitude,Longitude,FeePaid,ExtractDate
2596895,16-138069,0,Korda Bros Decorating Ltd ,,Issued,16-01-04 15:32,16-12-31 0:00,Painter,,220,Unit,6939,E Hastings,Burnaby,BC,CAN,VV5B 1S9,,0,,,136,16-06-12
2681995,16-113285,1,F & M Installations Ltd ,,Issued,16-03-24 11:15,16-12-31 0:00,Electrical Contractor,,,,1890,Schoolhouse Rd,Nanaimo,BC,CAN,V9X 1T4,,30,,,,16-06-12
2573412,16-114599,0,Battlefield Fight League Incorporated ,,Pending,,,Entertainment Services,Dance/Event Promoter,,,1250,Stewart Av,Nanaimo,BC,CAN,V9S 4C9,,0,,,,16-06-12
2566683,16-107873,0,W Pile Construction Ltd ,,Gone Out of Business,,,Contractor,Building,7,Unit,1850,Northfield Rd,Nanaimo,BC,CAN,V9S 3B3,,0,,,,16-06-12
2657989,16-182604,0,Baron Woodwork Inc ,,Issued,16-02-02 11:23,16-12-31 0:00,Contractor,Alterations & Repairs,,,852,Woodland Dr,Parksville,BC,CAN,V9P 1Z2,,0,,,204,16-06-12
2603391,16-144554,0,Lifelike Stylz Rentals Inc ,Floral Image ,Issued,15-12-15 13:55,16-12-31 0:00,Rentals,Other,105,Unit,2077,St. Andrews Wat,Courtenay,BC,CAN,V9N 9V5,,0,,,136,16-06-12
2572422,16-113609,0,Terratek Energy Solutions Inc ,,Issued,15-12-29 16:40,16-12-31 0:00,Electrical Contractor,,211,Unit,2459,Cousins Ave,Courtenay,BC,CAN,V9N 3NL ,,6,,,136,16-06-12
2705202,16-229533,0,14566686 Alberta Ltd ,Vancouver Photos Real Estate Photography ,Pending,,,Photographer,,,,675,Qualicum Rd,Qualicum Beach,BC,CAN,V9K 1M4,,0,,,,16-06-12
2598322,16-139493,0,(Scott Auringer),TL Enterprise ,Gone Out of Business,,,Plumber & Gas Contractor,,,,3645,Farhill Road,Victoria,BC,CAN,V9C 3W3,,0,,,,16-06-12
2598350,16-139521,0,Pipeline Plumbing & Heating Ltd ,,Gone Out of Business,,,Plumber & Gas Contractor,,,,39500,Government Road,Squamish,BC,CAN,V9B 0B7,,0,,,,16-06-12
2592082,16-133260,0,TransTech Data Services (1992) Ltd ,,Pending,,,Office,Consultant,,,1055,Alston Street,Victoria,BC,CAN,V9A 3S6,,20,,,,16-06-12
2565956,16-107146,0,(Anthony Minniti),Century Group ,Issued,15-11-13 11:21,16-12-31 0:00,Contractor,Alterations & Repairs,,,5150,Cordova Bay Road,Victoria,BC,CAN,V8Y 2K6,,14,,,165,16-06-12
2595821,16-136995,0,Dunster & Associates Environmental Consultants Ltd ,,Gone Out of Business,,,Office,Consultant,,,4621,Cliffwood Place,Victoria,BC,CAN,V8Y 1B6,,0,,,,16-06-12
2656100,16-134677,1,Good Insights Strategy Inc ,,Issued,16-02-03 15:35,16-12-31 0:00,Office,Consultant,,,522,Quadra St,Victoria,BC,CAN,V8V 3S3,,1,,,22,16-06-12
2572702,16-113889,0,CBS Electrical Contractors Ltd ,,Pending,,,Electrical Contractor,,210,Unit,2614,Bridge St,Victoria,BC,CAN,V8T 4S9,,0,,,,16-06-12
2593419,16-134596,0,Rena Kendall-Craden & Christine Wood ,Kendallwood ,Pending,,,Office,Consultant,,,798,Oliver St,Victoria,BC,CAN,V8S 4W4,,0,,,,16-06-12
2581926,16-123108,0,Reaching for Resolve Services Inc & ADR Education Ltd ,ADR Education ,Issued,15-11-06 18:54,16-12-31 0:00,Instruction,Other,,,2092,Marne St,Victoria,BC,CAN,V8S 4J8,,4,,,136,16-06-12
2589245,16-130424,0,Balfour Consulting Group Inc ,,Issued,15-11-09 14:44,16-12-31 0:00,Office,Consultant,,,1663,Richardson St,Victoria,BC,CAN,V8S 1R5,,1,,,136,16-06-12
2589662,16-130841,0,Thibault & Company Appraisals Inc ,Westbridge Group Valuation Partner ,Issued,15-12-07 12:45,16-12-31 0:00,Office,Appraisal Service,308,Unit,1830,Oak Bay Avenue ,Victoria,BC,CAN,V8R 6R2,,4,,,136,16-06-12
2588709,16-129888,0,Worldwide Consultants & Public Relations Corp ,,Issued,16-01-04 11:34,16-12-31 0:00,Office,Consultant,128,Unit,1830,Fern St,Victoria,BC,CAN,V8R 4K3,,2,,,136,16-06-12
2594506,16-135682,0,Clarity Jane Professional Organizing Agency Ltd ,Clarity Jane ,Pending,,,Office,Other,,,1524,Begbie St,Victoria,BC,CAN,V8R 1K8,,0,,,,16-06-12
